song_title,artist,genre,lyrics,clean_lyrics
I Got You Babe,Sonny & Cher,Pop,"Despite their pledges of love in this song, within 10 years, the couple was divorced.
They say we're young and we don't know
We won't find out until we grow
Well I don't know if all that's true
'Cause you got me, and baby, I got you

Babe
I got you babe, I got you babe

They say our love won't pay the rent
Before it's earned, our money's all been spent
I guess that's so, we don't have a pot
But at least I'm sure of all the things we got

Babe
I got you babe, I got you babe

I got flowers in the spring, I got you to wear my ring
And when I'm sad, you're a clown
And if I get scared, you're always around
So let them say your hair's too long
Cause I don't care, with you I can't go wrong
Then put your little hand in mine
There ain't no hill or mountain we can't climb

Babe
I got you babe, I got you babe

I got you to hold my hand
I got you to understand
I got you to walk with me
I got you to talk with me
I got you to kiss goodnight
I got you to hold me tight
I got you, I won't let go
I got you to love me so

I got you babe
I got you babe
I got you babe
I got you babe
I got you babe",despite their pledges of love in this song within 10 years the couple was divorced they say were young and we dont know we wont find out until we grow well i dont know if all thats true cause you got me and baby i got you babe i got you babe i got you babe they say our love wont pay the rent before its earned our moneys all been spent i guess thats so we dont have a pot but at least im sure of all the things we got babe i got you babe i got you babe i got flowers in the spring i got you to wear my ring and when im sad youre a clown and if i get scared youre always around so let them say your hairs too long cause i dont care with you i cant go wrong then put your little hand in mine there aint no hill or mountain we cant climb babe i got you babe i got you babe i got you to hold my hand i got you to understand i got you to walk with me i got you to talk with me i got you to kiss goodnight i got you to hold me tight i got you i wont let go i got you to love me so i got you babe i got you babe i got you babe i got you babe i got you babe
Help!,The Beatles,"classic rock, psychedelic rock","Primarily… Read More 
(Help!) I need somebody
(Help!) Not just anybody
(Help!) You know I need someone
(Help!)

(When, when I was young) When I was younger, so much younger than today
(I never need) I never needed anybody's help in any way
(Now these days are gone) But now these days are gone, I'm not so self assured
(And now I find) Now I find I've changed my mind and opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

(Now my life has changed) And now my life has changed in oh so many ways
(My independ') My independence seems to vanish in the haze
(But now and then) But every now and then I feel so insecure
(I know that I) I know that I just need you like I've never done before

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

When I was younger, so much younger than today
I never needed anybody's help in any way
(Now these days are gone) But now these days are gone, I'm not so self assured
(And now I find) Now I find I've changed my mind and opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

Help me! Help me, ooh",primarily… read more help i need somebody help not just anybody help you know i need someone help when when i was young when i was younger so much younger than today i never need i never needed anybodys help in any way now these days are gone but now these days are gone im not so self assured and now i find now i find ive changed my mind and opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me now my life has changed and now my life has changed in oh so many ways my independ my independence seems to vanish in the haze but now and then but every now and then i feel so insecure i know that i i know that i just need you like ive never done before help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me when i was younger so much younger than today i never needed anybodys help in any way now these days are gone but now these days are gone im not so self assured and now i find now i find ive changed my mind and opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me help me help me ooh
California Girls,The Beach Boys,baroque pop,"Well, East Coast girls are hip
I really dig those styles they wear
And the Southern girls with the way they talk
They knock me out when I'm down there
The Midwest farmer's daughters
Really make you feel alright
And the Northern girls with the way they kiss
They keep their boyfriends warm at night

I wish they all could be California girls
(I wish they all could be California)
I wish they all could be California girls

The West Coast has the sunshine
And the girls all get so tanned
I dig a French bikini on Hawaii island Dolls
By a palm tree in the sand
I've been all around this great big world
And I seen all kind of girls
Yeah, but I couldn't wait to get back in the states
Back to the cutest girls in the world

I wish they all could be California girls
(I wish they all could be California)
I wish they all could be California girls

I wish they all could be California (Girls, girls, girls yeah, I dig the—)
I wish they all could be California (Girls, girls, girls yeah, I dig the—)
I wish they all could be California (Girls, girls, girls yeah, I dig the—)
I wish they all could be California (Girls, girls, girls yeah, I dig the—)",well east coast girls are hip i really dig those styles they wear and the southern girls with the way they talk they knock me out when im down there the midwest farmers daughters really make you feel alright and the northern girls with the way they kiss they keep their boyfriends warm at night i wish they all could be california girls i wish they all could be california i wish they all could be california girls the west coast has the sunshine and the girls all get so tanned i dig a french bikini on hawaii island dolls by a palm tree in the sand ive been all around this great big world and i seen all kind of girls yeah but i couldnt wait to get back in the states back to the cutest girls in the world i wish they all could be california girls i wish they all could be california i wish they all could be california girls i wish they all could be california girls girls girls yeah i dig the— i wish they all could be california girls girls girls yeah i dig the— i wish they all could be california girls girls girls yeah i dig the— i wish they all could be california girls girls girls yeah i dig the—
Unchained Melody,The Righteous Brothers,Pop,"Woah, my love, my darling
I've hungered for your touch
A long, lonely time
And time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
Godspeed your love to me

Lonely rivers flow
To the sea, to the sea
To the open arms of the sea, yeah
Lonely rivers sigh
""Wait for me, wait for me""
I'll be coming home, wait for me

Woah, my love, my darling
I've hungered, hungered for your touch
A long, lonely time
And time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I, I need your love
Godspeed your love to me",woah my love my darling ive hungered for your touch a long lonely time and time goes by so slowly and time can do so much are you still mine i need your love i need your love godspeed your love to me lonely rivers flow to the sea to the sea to the open arms of the sea yeah lonely rivers sigh wait for me wait for me ill be coming home wait for me woah my love my darling ive hungered hungered for your touch a long lonely time and time goes by so slowly and time can do so much are you still mine i need your love i i need your love godspeed your love to me
It's The Same Old Song,Four Tops,"motown, northern soul, soul","You're sweet (You're sweet) as a honeybee
But like a honeybee stings, you've gone and left my heart in pain
All you left (All you left) is our favorite song
The one we danced to all night long
It used to bring sweet memories (Sweet memories)
Of a tender love that used to be

Now it's the same old song
But with a different meaning since you've been gone
Now it's the same, same old song
But with a different meaning (Since you've been gone)
And it breaks me up to hear it
I, oh, I

A sentimental fool (Sweet, sweet memories) am I
To hear an old love song and wanna cry
But the melody (Sweet, sweet memories) keeps calling me
Reminding me how in love we used to be
I keep hearing the part that used to touch our hearts
Saying, ""Together forever, (Darling) breaking up never""

(It's the same old song) Can't bear to hear it
(With a different meaning since you've been gone) Since you've been gone, oh, it hurts to hear it
It's the same old song
But with a different meaning since you've been gone

Precious memories (Sweet, sweet memories) keep lingering on
Every time I hear our favorite song
Now you're gone (Sweet, sweet memories), there's this emptiness
I only reminisce the happiness we spent
We used to dance to the music (We used to dance to the music)
Make romance to the music (Make romance to the music)

Now it's the same old song
But with a different meaning since you've been gone
Now it's the same, same old song
But with a different meaning since you've been gone
I, oh, I can't bear to hear it
It's the same old song
But with a different meaning since you've been gone
Oooh, it breaks me up to hear it
It's the same old song
But with a different meaning (Since you've been gone)
Oh, can't bear to hear it
It's the same old song",youre sweet youre sweet as a honeybee but like a honeybee stings youve gone and left my heart in pain all you left all you left is our favorite song the one we danced to all night long it used to bring sweet memories sweet memories of a tender love that used to be now its the same old song but with a different meaning since youve been gone now its the same same old song but with a different meaning since youve been gone and it breaks me up to hear it i oh i a sentimental fool sweet sweet memories am i to hear an old love song and wanna cry but the melody sweet sweet memories keeps calling me reminding me how in love we used to be i keep hearing the part that used to touch our hearts saying together forever darling breaking up never its the same old song cant bear to hear it with a different meaning since youve been gone since youve been gone oh it hurts to hear it its the same old song but with a different meaning since youve been gone precious memories sweet sweet memories keep lingering on every time i hear our favorite song now youre gone sweet sweet memories theres this emptiness i only reminisce the happiness we spent we used to dance to the music we used to dance to the music make romance to the music make romance to the music now its the same old song but with a different meaning since youve been gone now its the same same old song but with a different meaning since youve been gone i oh i cant bear to hear it its the same old song but with a different meaning since youve been gone oooh it breaks me up to hear it its the same old song but with a different meaning since youve been gone oh cant bear to hear it its the same old song
Like A Rolling Stone,Bob Dylan,"folk rock, folk, singer-songwriter, roots rock, country rock","Once upon a time you dressed so fine
Threw the bums a dime in your prime, didn't you?
People call, say ""Beware, doll, you're bound to fall""
You thought they were all a-kiddin' you
You used to laugh about
Everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging your next meal

How does it feel?
How does it feel
To be without a home
Like a complete unknown
Like a rolling stone?

Aw, you've gone to the finest school all right, Miss Lonely
But ya know ya only used to get juiced in it
Nobody's ever taught ya how to live out on the street
And now you’re gonna have to get used to it
You say you never compromise
With the mystery tramp, but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say, “Do you want to make a deal?""

How does it feel?
How does it feel
To be on your own
With no direction home
A complete unknown
Like a rolling stone?

Aw, you never turned around to see the frowns
On the jugglers and the clowns when they all did tricks for you
Never understood that it ain't no good
You shouldn't let other people get your kicks for you
You used to ride on a chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that
He really wasn't where it's at
After he took from you everything he could steal?

How does it feel?
How does it feel?
To hang on your own
With no direction home
Like a complete unknown
Like a rolling stone?

Aw, princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchangin' all precious gifts
But you'd better take your diamond ring, ya better pawn it, babe
You used to be so amused
At Napoleon in rags, and the language that he used
Go to him now, he calls ya, ya can't refuse
When ya ain't got nothin', you got nothin' to lose
You're invisible now, ya got no secrets to conceal
How does it feel?
Aw, how does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?",once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all akiddin you you used to laugh about everybody that was hangin out now you dont talk so loud now you dont seem so proud about having to be scrounging your next meal how does it feel how does it feel to be without a home like a complete unknown like a rolling stone aw youve gone to the finest school all right miss lonely but ya know ya only used to get juiced in it nobodys ever taught ya how to live out on the street and now you’re gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say “do you want to make a deal how does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stone aw you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discover that he really wasnt where its at after he took from you everything he could steal how does it feel how does it feel to hang on your own with no direction home like a complete unknown like a rolling stone aw princess on the steeple and all the pretty people theyre all drinkin thinkin that they got it made exchangin all precious gifts but youd better take your diamond ring ya better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him now he calls ya ya cant refuse when ya aint got nothin you got nothin to lose youre invisible now ya got no secrets to conceal how does it feel aw how does it feel to be on your own with no direction home like a complete unknown like a rolling stone
Save Your Heart For Me,Gary Lewis And The Playboys,Rock,"*whistling*

Walk along the lake with someone new
Have yourself a summer fling or two
But remember I'm in love with you
And save your heart for me

When the summer moon is on the rise
And you're dancin' under starlit skies
Please don't let the stars get in your eyes
Just save your heart for me

When you're all alone, far away from home
Someone's gonna flirt with you
I won't think it's wrong if you play along
Just don't fall for someone new

When the autumn winds begin to blow
And the summertime is long ago
You'll be in my arms again I know
So, save your heart for me
Darlin', save your heart for me

*whistling*

Please remember I'm in love with you so
Save your heart for me
Darlin', save your heart for me",whistling walk along the lake with someone new have yourself a summer fling or two but remember im in love with you and save your heart for me when the summer moon is on the rise and youre dancin under starlit skies please dont let the stars get in your eyes just save your heart for me when youre all alone far away from home someones gonna flirt with you i wont think its wrong if you play along just dont fall for someone new when the autumn winds begin to blow and the summertime is long ago youll be in my arms again i know so save your heart for me darlin save your heart for me whistling please remember im in love with you so save your heart for me darlin save your heart for me
"Hold Me, Thrill Me, Kiss Me",Mel Carter,doo-wop,"And never let me go until you've told me, told me
What I want to know and then just hold me, hold me
Make me tell you I'm in love with you
Thrill me (thrill me), thrill me (thrill me)
Walk me down the lane where shadows
Will be (will be) will be (will be)
Hiding lovers just the same as we'll be, we'll be
When you make me tell you I love you
They told me ""Be sensible with your new love""
""Don't be fooled, thinking this is the last you'll find""
But they never stood in the dark with you, love
When you take me in your arms
And drive me slowly out of my mind
Kiss me (kiss me), kiss me (kiss me)
And when you do, I'll know that you
Will miss me (miss me), miss me (miss me)
If we ever say ""Adieu"", so kiss me, kiss me
Make me tell you I'm in love with you
(Kiss me) kiss me, (kiss me) kiss me
When you do, I'll know that you will
Miss me (miss me), miss me (miss me)
If we ever say ""Adieu"" so kiss me, kiss me
Make me tell you I'm in love with you

(Hold me, thrill me)
(Never, never, never let me go)
(Hold me, thrill me, never, never, never let me go)
(Fade...)",and never let me go until youve told me told me what i want to know and then just hold me hold me make me tell you im in love with you thrill me thrill me thrill me thrill me walk me down the lane where shadows will be will be will be will be hiding lovers just the same as well be well be when you make me tell you i love you they told me be sensible with your new love dont be fooled thinking this is the last youll find but they never stood in the dark with you love when you take me in your arms and drive me slowly out of my mind kiss me kiss me kiss me kiss me and when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you kiss me kiss me kiss me kiss me when you do ill know that you will miss me miss me miss me miss me if we ever say adieu so kiss me kiss me make me tell you im in love with you hold me thrill me never never never let me go hold me thrill me never never never let me go fade
Down In The Boondocks,Billy Joe Royal,northern soul,"Down in the boondocks, down in the boondocks
People put me down 'cause that's the side of town I was born in
I love her, she loves me but I don't fit in her society
Lord, have mercy on a boy from down in the boondocks

Every night I watch the lights from the house upon the hill
I love a little girl that lives up there, and I guess I always will
But I don't dare knock on her door 'cause her daddy is my boss man
So I'll just have to be content to see her whenever I can

Down in the boondocks, down in the boondocks
People put me down 'cause that's the side of town I was born in
I love her, she loves me but I don't fit in her society
Lord, have mercy on a boy from down in the boondocks

Down in the boondocks, down in the boondocks

One fine day I'll find a way to move from this old shack
I'll hold my head up like a king and I never, never will look back
Until that mornin' I'll work and slave, and I'll save every dime
But tonight she'll have to steal away to see me one more time

Down in the boondocks, down in the boondocks
People put me down 'cause that's the side of town I was born in
I love her, she loves me but I don't fit in her society
Lord, have mercy on a boy from down in the boondocks
Lord, have mercy on a boy from down in the boondocks
Lord, have mercy on a boy from down in the boondocks",down in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on a boy from down in the boondocks every night i watch the lights from the house upon the hill i love a little girl that lives up there and i guess i always will but i dont dare knock on her door cause her daddy is my boss man so ill just have to be content to see her whenever i can down in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on a boy from down in the boondocks down in the boondocks down in the boondocks one fine day ill find a way to move from this old shack ill hold my head up like a king and i never never will look back until that mornin ill work and slave and ill save every dime but tonight shell have to steal away to see me one more time down in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on a boy from down in the boondocks lord have mercy on a boy from down in the boondocks lord have mercy on a boy from down in the boondocks
Papa's Got A Brand New Bag (Part I),James Brown And The Famous Flames,R&B/Soul,"1 ContributorMedley: Papa’s Got A Brand New Bag / I Got You (I Feel Good) / I Got The Feelin’ (Live At The Olympia, Paris / 1971) LyricsPart I: Papa's Got A Brand New Bag
Come here, sister
Papa's in the swing
He ain't too hip
To do anything
He ain't no drag
Papa's got a brand new bag
Part II: I Got You (I Got The Feelin')
So good, so good, I got you
So good, so good, I got you
Part III: I Got The Feelin'
I got the feelin'!
Oh baby, I got the feelin'!
You don't know what you do to me
To my heart, 
Oh baby, alright
Baby, baby, baby
Baby, baby, baby

I got the feelin' baby
Baby, sometimes I'm down
My heart, I'm around the town
I'm level with the ground
I said level with the ground
Alright, baby!",1 contributormedley papa’s got a brand new bag i got you i feel good i got the feelin’ live at the olympia paris 1971 lyricspart i papas got a brand new bag come here sister papas in the swing he aint too hip to do anything he aint no drag papas got a brand new bag part ii i got you i got the feelin so good so good i got you so good so good i got you part iii i got the feelin i got the feelin oh baby i got the feelin you dont know what you do to me to my heart oh baby alright baby baby baby baby baby baby i got the feelin baby baby sometimes im down my heart im around the town im level with the ground i said level with the ground alright baby
