song_title,artist,simplified_genre,vader_sentiment,textblob_sentiment,sentiment_label
The Power Of Love,Huey Lewis & The News,Rock,0.9977,0.12506105006105006,positive
St. Elmo's Fire (Man In Motion),John Parr,Jazz,-0.9773,0.05405483405483406,negative
Freeway Of Love,Aretha Franklin,Soul,0.9998,0.2587864250177683,positive
We Don't Need Another Hero (Thunderdome),Tina Turner,R&B,-0.7329,0.06999999999999999,negative
Summer Of '69,Bryan Adams,Rock,0.9878,0.14773391812865497,positive
Shout,Tears For Fears,Pop,0.9851,0.19213184476342374,positive
Never Surrender,Corey Hart,Pop,-0.9466,0.051910640799529666,negative
Cherish,Kool & The Gang,Disco,0.9998,0.3164842873176206,positive
You're Only Human (Second Wind),Billy Joel,Rock,0.9592,0.030034722222222223,positive
Money For Nothing,Dire Straits,Rock,0.9985,0.32651515151515165,positive
Don't Lose My Number,Phil Collins,Rock,-0.9923,-0.009990662931839416,negative
Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,Rock,-0.8638,0.19857142857142857,negative
Pop Life,Prince And The Revolution,Rock,-0.524,0.1902777777777778,negative
Freedom,Wham!,Holiday,0.9968,0.07497439836149511,positive
What About Love?,Heart,Rock,0.9991,0.34214852607709745,positive
Dare Me,The Pointer Sisters,Disco,0.9973,0.1804531490015361,positive
Smokin' In The Boys Room,Motley Crue,Rock,0.7615,0.20493827160493827,positive
If You Love Somebody Set Them Free,Sting,Hip-Hop,0.9999,0.39552819865319794,positive
Everytime You Go Away,Paul Young,Pop,-0.3733,0.11250000000000002,negative
Life In One Day,Howard Jones,Pop,0.96,0.10940988835725678,positive
Who's Holding Donna Now,Debarge,Other,0.9016,0.21529304029304028,positive
You Spin Me Round (Like A Record),Dead Or Alive,Pop,0.9977,0.02916666666666666,positive
Dress You Up,Madonna,Pop,0.9997,0.40477855477855473,positive
Mystery Lady,Billy Ocean,Pop,0.9986,0.23999999999999996,positive
Shame,The Motels,Other,-0.9988,-0.17232142857142857,negative
Oh Sheila,Ready For The World,R&B,0.9967,0.27713464696223317,positive
There Must Be An Angel,Eurythmics,Pop,0.9337,0.08750000000000001,positive
Take On Me,a-ha,Rock,-0.9144,-0.221875,negative
Cry,Godley & Creme,Pop,-0.9883,0.1,negative
Lonely Ol' Night,John Mellencamp,Rock,-0.9616,-0.1267857142857143,negative
Saving All My Love For You,Whitney Houston,Pop,0.9986,0.270999743983615,positive
Glory Days,Bruce Springsteen,Rock,0.9997,-0.011005747126436786,positive
Rock Me Tonight,Freddie Jackson,Soul,0.9875,0.24612193362193355,positive
