song_title,artist,simplified_genre,vader_sentiment,textblob_sentiment,sentiment_label
Play Something Country,Brooks & Dunn,Country,0.9911,-0.029783950617283957,positive
Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",Dance,-0.5656,0.22561885865457293,negative
Axel F,Crazy Frog,Dance,-0.9081,-0.4428571428571429,negative
Helena (So Long & Goodnight),My Chemical Romance,Pop,0.8884,0.008823529411764721,positive
Help Somebody,Van Zant,Rock,0.8593,0.13442355098605097,positive
Don't Worry 'Bout A Thing,SHeDAISY,Country,0.9908,0.2402350427350427,positive
Making Memories Of Us,Keith Urban,Country,0.9962,0.04625668449197862,positive
Charlie Last Name: Wilson,Charlie Wilson,Other,0.9986,0.30638692115964844,positive
Belly Dancer (Bananza),Akon,Hip-Hop,0.9889,-0.13622519841269845,positive
Dirty Little Secret,The All-American Rejects,Pop,-0.9961,-0.32454974271012005,negative
B.Y.O.B.,System Of A Down,Hip-Hop,-0.9889,-0.09053030303030302,negative
Redneck Yacht Club,Craig Morgan,Country,0.969,0.10841269841269845,positive
Dem Boyz,Boyz N Da Hood,Hip-Hop,-0.9847,-0.04502645502645501,negative
Something To Be Proud Of,Montgomery Gentry,Country,0.9941,0.26546474057343633,positive
Somebody's Hero,Jamie O'Neal,Country,0.9975,0.09809351276742583,positive
Diamonds From Sierra Leone,Kanye West,Hip-Hop,0.9287,0.1118763695152584,positive
All Jacked Up,Gretchen Wilson,Country,-0.4063,0.10773809523809526,negative
Naked,Marques Houston,R&B,0.9927,0.11238977072310405,positive
Nada Es Para Siempre,Luis Fonsi,Latin,0.7351,0.0,positive
Dreams,The Game,Hip-Hop,0.9985,0.12318840579710146,positive
Run It!,Chris Brown,R&B,0.9982,0.05525426219870665,positive
Playa's Only,R. Kelly Featuring The Game,R&B,-0.961,-0.082185746352413,negative
Hicktown,Jason Aldean,Country,0.9949,-0.04905372405372407,positive
All These Things That I've Done,The Killers,Rock,0.9768,-0.00666666666666668,positive
Georgia Rain,Trisha Yearwood,Country,0.886,0.15,positive
I Can't Stop Loving You,Kem,R&B,0.9893,0.2878787878787879,positive
Sittin' Sidewayz,Paul Wall Featuring Big Pokey,Hip-Hop,-0.975,-0.07901785714285714,negative
Gotta Make It,Trey Songz Featuring Twista,R&B,0.995,0.2543386243386243,positive
I'm Sprung,T-Pain,Hip-Hop,-0.8252,-0.07383040935672514,negative
