song_title,artist,simplified_genre,vader_sentiment,textblob_sentiment,sentiment_label
Luther,Kendrick Lamar & SZA,Hip-Hop,0.9697,0.23107638888888885,positive
Die With A Smile,Lady Gaga & Bruno Mars,Pop,0.9725,0.05403439153439153,positive
Ordinary,Alex Warren,Pop,-0.6988,-0.15231481481481482,negative
Nokia,Drake,Hip-Hop,0.9962,0.05383722671458525,positive
A Bar Song (Tipsy),Shaboozey,Country,0.8268,0.09851190476190476,positive
Pink Pony Club,Chappell Roan,Pop,0.9938,0.010424710424710418,positive
I'm The Problem,Morgan Wallen,Country,-0.9731,-0.2155982905982906,negative
I Ain't Coming Back,Morgan Wallen & Post Malone,Country,-0.9946,-0.11111111111111112,negative
Lose Control,Teddy Swims,Pop,0.9063,0.04173881673881676,positive
Beautiful Things,Benson Boone,Pop,0.9883,0.3266666666666666,positive
All The Way,BigXthaPlug Featuring Bailey Zimmerman,Hip-Hop,-0.4536,0.01392251815980629,negative
Anxiety,Doechii,Hip-Hop,-0.9241,0.013804713804713806,negative
Birds Of A Feather,Billie Eilish,Alternative,-0.9949,0.19347826086956518,negative
Just In Case,Morgan Wallen,Country,-0.7827,0.21293859649122807,negative
I Had Some Help,Post Malone Featuring Morgan Wallen,Hip-Hop,0.9934,-0.07205882352941177,positive
APT.,ROSE & Bruno Mars,Pop,0.9916,-0.16999999999999998,positive
Love Somebody,Morgan Wallen,Country,0.9983,0.24931457431457435,positive
Mutt,Leon Thomas,R&B,-0.9399,-0.20247474747474747,negative
Espresso,Sabrina Carpenter,Pop,0.9935,0.010962301587301593,positive
That's So True,Gracie Abrams,Pop,0.9638,-0.04264193660745384,positive
Not Like Us,Kendrick Lamar,Hip-Hop,0.9678,0.024951267056530207,positive
Messy,Lola Young,R&B,-0.9981,-0.18178955453149,negative
TV Off,Kendrick Lamar Featuring Lefty Gunplay,Hip-Hop,-0.9988,-0.11124423583662713,negative
30 For 30,SZA With Kendrick Lamar,Hip-Hop,-0.9959,0.004030257936507927,negative
Sports Car,Tate McRae,Pop,0.9915,0.029150132275132277,positive
Abracadabra,Lady Gaga,Pop,-0.5951,0.05499999999999999,negative
Squabble Up,Kendrick Lamar,Hip-Hop,-0.9927,0.06439511666784394,negative
Stargazing,Myles Smith,Other,-0.9618,0.1877551020408163,negative
