song_title,artist,simplified_genre,clean_lyrics
All The Way,BigXthaPlug Featuring Bailey Zimmerman,Hip-Hop,dont let me down easy if youre gonna leave me baby go and leave me all the way dont ask for all your things back cussin out my name yeah just to go and take back what you say burn all the bridges dont ask forgiveness walk away like im someone you hate dont let me down easy if youre gonna leave me baby go and leave me all the way ayy if its over its over so fuck it just dont act like my love wasnt nothin like i wasnt the one you was holdin at night tellin all of your secrets and huggin guess you right its too good to be true whats the point all i needed was you but shit time after time all this fussin and fighting its time that you do what you do and its cool mama said it was fish in the sea i got lost in the pool knew it was comin i watched how you move how you turn your back on me and leave me to lose remember the text how you said that youd do said that youd never leave we would fight til its due but as it went on i was fightin for you sent a text it turned green why the fuck it aint blue guess you done and i get it said youd stay and you wanted my name and you left so im guessin that you never meant it said youd try and hold on cause the love was so strong now im standing alone this kitchen singin sad songs but im knowin that this shit dont last long if you leavin then leave cause your bags gone but just know you can never come back home dont let me down easy if youre gonna leave me baby go and leave me all the way dont ask for all your things back cussin out my name yeah just to go and take back what you say burn all the bridges dont ask forgiveness walk away like im someone you hate dont let me down easy if youre gonna leave me baby go and leave me all the way ayy if you say that you done aint no take backs said you fell out of love and i hate that but see me i was stuck like a drug really fiendin for love and somehow i cant shake back when you walked out that door i was hurtin all the dreams in my head you was perfect you remember the very first time that we chilled and i reached for your hand where them nerves at time will pass and shit thats what it do it be times i be sick sittin thinkin bout you it was death do us part til you gave me the blues really played my heart left me lost and confused thought this shit was fair game but you made up the rules on my heart left a scar and a bruise hope that you can stand on all the shit that you did cause im done yeah im finally through dont let me down easy if youre gonna leave me baby go and leave me all the way dont ask for all your things back cussin out my name yeah just to go and take back what you say burn all the bridges dont ask forgiveness walk away like im someone you hate dont let me down easy if youre gonna leave me baby go and leave me all the way
Anxiety,Doechii,Hip-Hop,anxiety keep on trying me i feel it quietly tryna silence me yeah my anxiety cant shake it off of me somebodys watchin me and my anxiety yeah oh oh oh oh oh oh solo no mojo i bounce back no pogo unhappy no homo new brands no logos money on my jugular natural hustler think i need a smuggler up in russia you could be my butler shine my cutla shout out to oyenda thats the guzzler okay next thing my life is a wet dream i call it a sex scene the back is a nice tease i tried to escape my life is a xrate im sorry a sex tape you only get one take quiet on the set please rolling anxiety in three two one anxiety keep on tryin me i feel it quietly tryna silence me yeah anxiety shake it off of me somebodys watchin me its my anxiety yeah brrah anxiety anxiet— oh i feel it tryin oh keep it tryin keep it tryin oh i feel the silence oh keep it quiet keep it tired oh somebodys touchin me ooh lada woah anxiety anxiet— oh i feel anxiet— oh oh oh oh my anxiety anxiet— oh i feel it tryin its my anxiety cant let it conquer me keep it tryin keep it tryin oh i feel the silence its my anxiety gotta shake it off of me keep it quiet keep it quiet oh somebodys watchin me its my anxiety cant let it caution me anxiety anxiet— oh i feel anxiety its my anxiety gotta keep it off of me anxiety anxiet— oh i feel it tryin keep it tryin keep it tryin oh i feel the silence keep it quiet keep it quiet oh somebodys watchin me anxiety anxiet— oh i feel anxiety court order from florider whats in that clear blue water no limits no borders whats in that new world order marco marco polo polo negro run from popo popo that blue light and that rojo rojo and its like i get this tightness in my chest like an elephant is standing on me and i just let it take over anxiety keeps on tryin me anxiety keeps on tryin me yeah anxiety anxiet— oh i feel it tryin ooh keep it tryin keep it tryin oh i feel the silence keep it quiet keep it quiet oh somebodys watchin me oh it keeps on tryin me anxiety anxiet— oh i feel anxiet— it keeps on tryin ttryin tryin oh my anxiety its my anxiety cant shake it off of me its my anxiety its my anxiety gotta keep it off of me cant shake it off of me its my anxiety cant shake it off of me oh somebodys watchin me its my anxiety gotta keep it off of me brrah cant shake it off of me shake shake it off of me yeah its my anxiety gotta keep it off of me yeah cant shake it off of me shake shake it off of me its my anxiety gotta shake it off of me me me
Birds Of A Feather,Billie Eilish,Alternative,but i wanna stay i want you to stay til im in the grave til i rot away dead and buried til im in the casket you carry if you go im goin too uh cause it was always you alright and if im turnin blue please dont save me nothin left to lose without my baby birds of a feather we should stick together i know i said id never think i wasnt better alone cant change the weather might not be forever but if its forever its even better and i dont know what im cryin for i dont think i could love you more it might not be long but baby i ill love you til the day that i die til the day that i die til the light leaves my eyes til the day that i die i want you to see hm how you look to me hm you wouldnt believe if i told ya you would keep the compliments i throw ya but youre so full of shit uh tell me its a bit oh say you dont see it your minds polluted say you wanna quit dont be stupid and i dont know what im cryin for i dont think i could love you more it might not be long but baby i dont wanna say goodbye birds of a feather we should stick together i know til the day that i die i said id never think i wasnt better alone til the light leaves my eyes cant change the weather might not be forever til the day that i die but if its forever its even better i knew you in another life you had that same look in your eyes i love you dont act so surprised
Just In Case,Morgan Wallen,Country,i aint sayin that i always sleep alone i aint sayin that i aint met no one else done a little bit of midnight movin on and i aint sayin when i do that it dont help leave with someone i dont know her name pull her real close but i leave some space and i could forget you girl for good even though i should i never let my heart go all the way every time i try i just hit the brakes and theres always a couple tryna take your place but i never fall in love baby just in case you wake up wantin me out of the blue you lay down needin what i used to do yeah every now and then i go get a taste but i never fall in love baby just in case just in case i always take it to the edge then i back it up they dont know i got a reason for actin up i aint felt a damn thing baby after us yeah im just hopin youll come back to us thats wishful thinkin baby honestly but i know you aint forgotten me so i never let my heart go all the way every time i try i just hit the brakes and theres always a couple tryna take your place but i never fall in love baby just in case you wake up wantin me out of the blue you lay down needin what i used to do yeah every now and then i go get a taste but i never fall in love baby just in case just in case leave with someone i dont know her name pull her real close but i leave some space yeah i could have three words on my tongue but i wont ever say em cause i never let my heart go all the way every time i try i just hit the brakes and theres always a couple tryna take your place but i never fall in love baby just in case you wake up wantin me out of the blue you lay down needin what i used to do yeah every now and then i go get a taste but i never fall in love baby just in case just in case
I Had Some Help,Post Malone Featuring Morgan Wallen,Hip-Hop,you got a lotta nerve dont you baby i only hit the curb cause you made me youre tellin all your friends that im crazy like im the only one whyd you throw them stones if you had a wild hair of your own or two livin in your big glass house with a view i thought you knew i had some help it aint like i can make this kinda mess all by myself dont act like you aint help me pull that bottle off the shelf been deep in every weekend if you couldnt tell they say teamwork makes the dream work hell i had some help help help you thought id take the blame for us acrumbling go round like you aint guilty of somethin already lost the game that you been runnin guess its catchin up to you huh you think that youre so innocent after all the shit you did i aint an angel you aint heavensent cant wash our hands of this i had some help it aint like i can make this kinda mess all by myself dont act like you aint help me pull that bottle off the shelf been deep in every weekend if you couldnt tell they say teamwork makes the dream work hell i had some help help help help help it takes two to break a heart in two ooh baby you blame me and baby i blame you aw if that aint the truth oh i had some help it aint like i can make this kinda mess all by myself dont act like you aint help me pull that bottle off the shelf been deep in every weekend if you couldnt tell they say teamwork makes the dream work hell i had some help help help help help
APT.,ROSE & Bruno Mars,Pop,the song references the korean… read more 채영이가 좋아하는 랜덤 게임 랜덤 게임 game start 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh kissy face kissy face sent to your phone but im tryna kiss your lips for real uhhuh uhhuh red hearts red hearts thats what im on yeah come give me somethin i can feel ohoh oh dont you want me like i want you baby dont you need me like i need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh its whatever whatever its whatever whatever its whatever whatever you like woo turn this 아파트 into a club uhhuh uhhuh im talkin drink dance smoke freak party all night come on 건배 건배 girl whats up ohoh oh dont you want me like i want you baby dont you need me like i need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh hey so now you know the game are you ready cause im comin to get ya get ya get ya hold on hold on im on my way yeah yeah yeahyeah yeah im on my way hold on hold on im on my way yeah yeah yeahyeah yeah im on my way dont you want me like i want you baby dont you need me like i need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the 아파트 아파트 아파트 아파트 아파트 아파트 just meet me at the uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 just meet me at the uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 just meet me at the uh uhhuh uhhuh 아파트 아파트 아파트 아파트 아파트 아파트 uh uhhuh uhhuh
Love Somebody,Morgan Wallen,Country,rumors goin all over town cant keep my name out they mouth these days yeah they say i live too fast to settle down truth is i just aint about these games they all play wanna find somethin stronger than the whiskey and oh ive tried but every time i feel her kiss me i keep comin up empty yeah i just wanna love somebody who wont leave a hole in my heart i just wanna love somebody that dont want me fallin apart and id be lucky if i ever find a somethin more than just a crazy night i just wanna love somе ​body who aint hypnotized by dollar signs and blindin lights like they tеnd to be yeah i need someone that id be proud to take on back to my hometown honest eyes that just aint gonna lead to lonely nights even when shes up against me i dont know why it feels like theres nobody with me and im still empty yeah i just wanna love somebody who wont leave a hole in my heart i just wanna love somebody that dont want me fallin apart and id be lucky if i ever find a somethin more than just a crazy night i just wanna love somebody i just wanna love somebody woah i just wanna love somebody who wont leave a hole in my heart i just wanna love somebody that dont want me fallin apart and id be lucky if i ever find a somethin more than just a crazy night i just wanna love somebody
Mutt,Leon Thomas,R&B,she said take your time whats the rush i said baby im a dog im a mutt she said take your time whats the rush oh i said baby im a dog im a mutt im a dog im a mutt i cant smoke on reggie so pardon my bluntness i see past pretty faces so i got trouble trusting but ill let my guard down for you said ill put my guard down for you said ill be vulnerable so you can break my heart if you want to she said take your time whats the rush i said baby im a dog im a mutt she said take your time whats the rush i said baby im a dog im a mutt im a dog im a mutt new crib told her come through its time to bring it in thirtytwo like my pants size cause a nigga tried breaking in new condo say your name at the front you can stay if you want its been one of those nights one of those nights i aint had in a minute its been a minute had to pop a shroom to recreate the feeling ooh yeah but its never the same as the first time we did it first time we did it but ill let my guard down for you for you said ill put my guard down for you said ill be vulnerable so you can break my heart if you want to oh she said take your time whats the rush take your time whats the rush i said baby im a dog im a mutt oh she said take your time whats the rush oh the rush i said baby im a dog im a mutt ooh im a dog im a mutt mutt oh
Espresso,Sabrina Carpenter,Pop,now hes thinkin bout me every night oh is it that sweet i guess so say you cant sleep baby i know thats that me espresso move it up down left right oh switch it up like nintendo say you cant sleep baby i know thats that me espresso i cant relate to desperation my giveafucks are on vacation and i got this one boy and he wont stop calling when they act this way i know i got em mm too bad your ex dont do it for ya mm walked in and dreamcametrued it for ya mm soft skin and i perfumed it for ya yes i know i mountain dew it for ya yes that morning coffee brewed it for ya yes one touch and i brandnewed it for ya ooh and now hes thinkin bout me every night oh is it that sweet i guess so say you cant sleep baby i know thats that me espresso move it up down left right oh switch it up like nintendo say you cant sleep baby i know thats that me espresso holy shit is it that sweet i guess so mm im working late cause im a singer oh he looks so cute wrapped round my finger my twisted humor make him laugh so often my honeybee come and get this pollen mm too bad your ex dont do it for ya mm walked in and dreamcametrued it for ya mm soft skin and i perfumed it for ya ayy ayy oh yes i know i mountain dew it for ya yes that morning coffee brewed it for ya yes one touch and i brandnewed it for ya stupid now hes thinkin bout me every night oh is it that sweet i guess so say you cant sleep baby i know thats that me espresso move it up down left right oh switch it up like nintendo say you cant sleep baby i know thats that me espresso yes thinkin bout me every night oh is it that sweet i guess so yes say you cant sleep baby i know thats that me espresso yes move it up down left right oh move it up down left right oh switch it up like nintendo yes say you cant sleep baby i know thats that me espresso is it that sweet i guess so mm thats that me espresso
That's So True,Gracie Abrams,Pop,i could go and read your mind think about your dumb face all the time living in your glass house im outside uh looking into big blue eyes did it just to hurt me make me cry smiling through it all yeah thats my life youre an idiot now im sure now im positive i should go and warn her ooh bet youre thinking shes so cool kicking back on your couch making eyes from across the room wait i think ive been there too ooh whatd she do to get you off uhhuh taking down her hair like oh my god taking off your shirt i did that once or twice uh no i know i know ill fuck off uhhuh but i think i like her shes so fun wait i think i hate her im not that evolved im sorry shes missing it sad sad boy not my business but i had to warn ya ooh bet youre thinking shes so cool kicking back on your couch making eyes from across the room wait i think ive been there too ooh ooh youve got me thinking shes so cool but i know what i know and youre just another dude ooh thats so true ooh made it out alive but i think i lost it said that i was fine said it from my coffin remember how i died when you started walking thats my life thats my life ill put up a fight taking out my earrings dont you know the vibe dont you know the feeling you should spend the night catch me on your ceiling thats your prize thats your prize well mm bet youre thinking shes so cool kicking back on your couch making eyes from across the room wait i think ive been there too ooh ooh youve got me thinking shes so cool but i know what i know and youre just another dude ooh thats so true ooh ooh oh
Not Like Us,Kendrick Lamar,Hip-Hop,psst i see dead people mustard on the beat ho ayy mustard on the beat ho deebo any rap nigga he a free throw man down call an amberlamps tell him breathe bro nail a nigga to the cross he walk around like teezo whats up with these jabroniass niggas tryna see compton the industry can hate me fuck em all and they mama how many opps you really got i mean its too many options im finna pass on this body im john stockton beat your ass and hide the bible if god watchin sometimes you gotta pop out and show niggas certified boogeyman im the one that up the score with em walk him down whole time i know he got some ho in him pole on him extort shit bully death row on him say drake i hear you like em young you better not ever go to cell block one to any bitch that talk to him and they in love just make sure you hide your lil sister from him they tell me chubbs the only one that get your handmedowns and party at the party playin with his nose now and baka got a weird case why is he around certified lover boy certified pedophiles wop wop wop wop wop dot fuck em up wop wop wop wop wop ima do my stuff why you trollin like a bitch aint you tired tryna strike a chord and its probably a minor they not like us they not like us they not like us they not like us they not like us they not like us you think the bay gon let you disrespect pac nigga i think that oakland show gon be your last stop nigga did cole foul i dont know why you still pretendin what is the owl bird niggas and burnt bitches go the audience not dumb shape the stories how you want hey drake theyre not slow rabbit hole is still deep i can go further i promise aint that somethin brad stands for bitch and you malibu most wanted aint no law boy you ball boy fetch gatorade or somethin since 2009 i had this bitch jumpin you niggasll get a wedgie be flipped over your boxers what ovo for the other vaginal option pussy nigga better straighten they posture got famous all up in compton might write this for the doctorate tell the pop star quit hidin fuck a caption want action no accident and im handson he fuck around get polished fucked on wayne girl while he was in jail thats connivin then get his face tatted like a bitch apologizin im glad deroz came home yall didnt deserve him neither from alondra down to central nigga better not speak on serena and your homeboy need subpoena that predator move in flocks that name gotta be registered and placed on neighborhood watch i lean on you niggas like another line of wock yeah its all eyes on me and ima send it up to pac ayy put the wrong label on me ima get em dropped ayy sweet chin music and i wont pass the aux ayy how many stocks do i really have in stock ayy one two three four five plus five ayy devil is a lie he a 69 god ayy freakyass niggas need to stay they ass inside ayy roll they ass up like a fresh pack of za ayy city is back up its a must we outside ayy they not like us they not like us they not like us they not like us they not like us they not like us once upon a time all of us was in chains homie still doubled down callin us some slaves atlanta was the mecca buildin railroads and trains bear with me for a second let me put yall on game the settlers was usin townfolk to make em richer fastforward 2024 you got the same agenda you run to atlanta when you need a check balance let me break it down for you this the real nigga challenge you called future when you didnt see the club ayy what lil baby helped you get your lingo up what 21 gave you false street cred thug made you feel like you a slime in your head ayy what quavo said you can be from northside what 2 chainz say you good but he lied you run to atlanta when you need a few dollars no you not a colleague you a fuckin colonizer the family matter and the truth of the matter it was gods plan to show yall the liar mm mmmm he a fan he a fan he a fan mm he a fan he a fan he a freakyass nigga he a 69 god freakyass nigga he a 69 god hey hey hey hey run for your life hey hey hey hey run for your life freakyass nigga he a 69 god freakyass nigga he a 69 god hey hey hey hey run for your life hey hey hey hey run for your life let me hear you say ovho ovho say ovho ovho then step this way step that way then step this way step that way are you my friend are we locked in then step this way step that way then step this way step that way
