song_title,artist,simplified_genre,clean_lyrics
Luther,Kendrick Lamar & SZA,Hip-Hop,the title comes from the… read more if this world were mine hey roman numeral seven bae drop it like its hot if this world was mine id take your dreams and make em multiply if this world was mine id take your enemies in front of god introduce em to that light hit them strictly with that fire fahfah fahfahfah fahfah fah hey roman numeral seven bae drop it like its hot if this world was mine id take your dreams and make em multiply if this world was mine id take your enemies in front of god introduce em to that light hit them strictly with that fire its a vibe do your dance let em watch she a fan he a flop they just wanna kumbaya nah in this world concrete flowers grow heartache she only doin what she know weekends get it poppin on the low better days comin for sure if this world were— if it was up to me i wouldnt give these nobodies no sympathy id take away the pain id give you everything i just wanna see you win wanna see if this world were mine it go in when you out ride it do it real slow slide baby you a star strike pose when im when you with you with me everything goes slow come and put that put that on my on my titi soul soul rari red crown stack wrist stay froze really drip tell me pound if you on the way home love me in this world concrete flowers grow heartache she only doin what she know weekends get it poppin on the low better days comin for sure if this world were— if it was up to me i wouldnt give these nobodies no sympathy id take away the pain id give you everything i just wanna see you win wanna see if this world were mine i cant lie i trust you i love you i wont waste your time i turn it off just so i can turn you on ima make you say it loud im not even trippin i wont stress you out i might even settle down for you ima show you im a pro ima take my time and turn it off just so i can turn you on baby weekends get it poppin on the low better days comin for sure i know youre comin for better days if this world were mine
Die With A Smile,Lady Gaga & Bruno Mars,Pop,ooh ooh i i just woke up from a dream where you and i had to say goodbye and i dont know what it all means but since i survived i realized wherever you go thats where ill follow nobodys promised tomorrow so ima love you every night like its the last night like its the last night if the world was ending id wanna be next to you if the party was over and our time on earth was through id wanna hold you just for a while and die with a smile if the world was ending id wanna be next to you ooh ooh ooh lost lost in the words that we scream i dont even wanna do this anymore cause you already know what you mean to me and our loves the only war worth fighting for wherever you go thats where ill follow nobodys promised tomorrow so ima love you every night like its the last night like its the last night if the world was ending id wanna be next to you if the party was over and our time on earth was through id wanna hold you just for a while and die with a smile if the world was ending id wanna be next to you right next to you next to you right next to you ohoh if the world was ending id wanna be next to you if the party was over and our time on earth was through id wanna hold you just for a while and die with a smile if the world was ending id wanna be next to you if the world was ending id wanna be next to you ooh ooh id wanna be next to you
Ordinary,Alex Warren,Pop,they say the holy waters watered down and this towns lost its faith our colors will fade eventually so if our time is runnin out day after day well make the mundane our masterpiece oh my my oh my my love i take one look at you youre takin me out of the ordinary i want you layin me down til were dead and buried on the edge of your knife stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out of the ordinary you got me kissin thе ground of your sanctuary shatter me with your touch oh lord return mе to dust the angels up in the clouds are jealous knowin we found hopeless hallelujah on this side of heavens gate oh my life how do ya breathe and take my breath away at your altar i will pray youre the sculptor im the clay oh my my youre takin me out of the ordinary i want you layin me down til were dead and buried on the edge of your knife stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out out of the ordinary ordinary you got me kissing the ground ground of your sanctuary sanctuary shatter me with your touch oh lord return me to dust the angels up in the clouds are jealous knowin we found somethin so heavenly higher than ecstasy whenever youre next to me oh my my world was in black and white until i saw your light i thought you had to die to find somethin so out of the ordinary i want you laying me down til were dead and buried on the edge of your knife stayin drunk on your vine the angels up in the clouds are jealous knowin we found somethin so out out of the ordinary you got me kissing the ground ground of your sanctuary sanctuary shatter me with your touch oh lord return me to dust the angels up in the clouds are jealous knowin we found
Nokia,Drake,Hip-Hop,whos callin my phone whos callin that shit whos callin my phone whos callin that shit whos callin my phone whos callin that shit whos callin my phone whos callin that shit whos callin my phone who who whos callin my phone who who whos callin my phone yeah yeah whos callin my phone ovo sound 2025 whos callin my phone whos callin that shit whos callin my phone is it stacy whos callin my phone is it becky whos callin my phone is it keisha whos callin my phone is it ashley whos callin my phone was it dani whos callin my phone is it party whos callin my phone wheres the function where the fuck the function send the addy where the fuck the function the way i feel right now i feel like we need to be all alone so if you just playin around you need to tell your girl take your fine ass home and thats real stop teasin me yeah what stop teasin me i could change your life so easily i keep beggin you to stay but youre leavin me leavin me we got sticks in the club illegally got the whole 6ix side they believe in me we got members east of the dvp we got members west on the 401 we had a lock on the game but its more to come you gotta pop that ass til the morning come you want shots for the girls then order some whos callin my phone whos callin that whos callin my phone whos callin that shit whos callin my phone whos callin that shit whos callin my phone whos callin that shit whos callin my phone who who whos callin my phone who who whos callin my phone who who whos callin my— ayy is it stacy whos callin my phone is it becky whos callin my phone is it keisha whos callin my phone is it ashley whos callin my phone was it dani whos callin my phone is it party whos callin my phone wheres the function where the fuck the function send the addy where the fuck the function baby girl baby girl baby girl baby girl let me see you do your dance let me see you twirl shakin ass in the club with your homegirls take a pic for the gram show the whole world show the whole world yeah is that your bestie ima ice both of yall like gretzky ima at you like bless me hit the dance floor get nasty impress me baby girl let me see you do your dance let me see you twirl shakin ass in the club with your homegirls take a pic for the gram show the whole world show the whole world yeah is that your bestie ima ice both of yall like gretzky ima at you like bless me hit the dance floor get nasty impress me ayy how many hoes in this club is it just me and you my love i dont mean to call you no ho i just heard about the things that you do my love and youre just like me if its true my love ayy you could see right through my love ayy i see your waist shrunk my love ayy you got some bass in the trunk my love damn how many hoes in this club is it really just me my love you know my dad nem pimpin for real you ever been down to memphis tennessee my love uh i aint sayin i agree my love im just tellin you the things that i see my love i got drinks jokes sex and cash those are four things i can guarantee my love ayy baby girl let me see you do your dance let me see you twirl shakin ass in the club with your homegirls take a pic for the gram show the whole world show the whole world yeah is that your bestie ima ice both of yall like gretzky ima at you like bless me hit the dance floor get nasty impress me baby girl let me see you do your dance let me see you twirl shakin ass in the club with your homegirls take a pic for the gram show the whole world show the whole world yeah is that your bestie ima ice both of yall like gretzky ima at you like bless me hit the dance floor get nasty impress me
A Bar Song (Tipsy),Shaboozey,Country,my baby want a birkin shes been tellin me all night long gasoline and groceries the list goes on and on this ninetofive aint workin why the hell do i work so hard i cant worry bout my problems i cant take em when im gone uh one here comes the two to the three to the four tell em bring another round we need plenty more twosteppin on the table she dont need a dance floor oh my good lord someone pour me up a double shot of whiskey they know me and jack daniеls got a history theres a party downtown near 5th street evеrybody at the bar gettin tipsy everybody at the bar gettin tipsy everybody at the bar gettin tipsy ive been boozey since i left i aint changin for a check tell my ma i aint forget oh lord i woke up drunk at 10 am​ we gon do this shit again tell your girl to bring a friend oh lord one here comes the two to the three to the four tell em bring another round we need plenty more twosteppin on the table she dont need a dance floor oh my good lord someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniels got a history we go way back theres a party downtown near 5th street everybody at the bar gettin tipsy everybody at the bar gettin tipsy at the bar gettin tipsy everybody at the bar gettin tipsy one here comes the two to the three to the four when its last call and they kick us out the door its gettin kind of late but the ladies want some more oh my good lord tell em drinks on me someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniels got a history way back theres a party downtown near 5th street come on everybody at the bar gettin tipsy wooooh someone pour me up a double shot of whiskey double shot of whiskey they know me and jack daniels got a history its jack d at the bottom of a bottle dont miss me baby dont miss me everybody at the bar gettin tipsy at the bar gettin tipsy everybody at the bar gettin tipsy everybody at the bar gettin tipsy thats fuckin messed up bro they kicked me out the bar
Pink Pony Club,Chappell Roan,Pop,i know you wanted me to stay but i cant ignore the crazy visions of me in la and i heard that theres a special place where boys and girls can all be queens every single day im having wicked dreams of leaving tennessee hear santa monica i swear its calling me wont make my mama proud its gonna cause a scene she sees her baby girl i know shes gonna scream god what have you done youre a pink pony girl and you dance at the club oh mama im just having fun on the stage in my heels its where i belong down at the pink pony club im gonna keep on dancing at the pink pony club im gonna keep on dancing down in west hollywood im gonna keep on dancing at the pink pony club pink pony club im up and jaws are on the floor lovers in the bathroom and a line outside the door black lights and a mirrored disco ball every nights another reason why i left it all i thank my wicked dreams a year from tennessee oh santa monica youve been too good to me wont make my mama proud its gonna cause a scene she sees her baby girl i know shes gonna scream god what have you done youre a pink pony girl and you dance at the club oh mama im just having fun on the stage in my heels its where i belong down at the pink pony club im gonna keep on dancing at the pink pony club im gonna keep on dancing down in west hollywood im gonna keep on dancing at the pink pony club pink pony club dont think ive left you all behind still love you and tennessee youre always on my mind and mama every saturday i can hear your southern drawl a thousand miles away saying god what have you done youre a pink pony girl and you dance at the club oh mama im just having fun on the stage in my heels its where i belong down at the pink pony club im gonna keep on dancing at the pink pony club im gonna keep on dancing down in west hollywood im gonna keep on dancing at the pink pony club pink pony club im gonna keep on dancing im gonna keep on dancing
I'm The Problem,Morgan Wallen,Country,you say ill never change im just ago around town with some gasoline just tryin to bum a flame gonna burn the whole place down and how do you explain ever fallin in love with a guy like me in the first place then turn around say that im the worst thing i guess im the problem and youre ms never do no wrong if im so awful then whyd you stick around this long and if its the whiskey then why you keep on pullin it off the shelf you hate that when you look at me you halfway see yourself and it got me thinkin if im the problem well you might be the reason we try to go our sеparate ways and were back and forth likе a swingin door and tomorrows like yesterday some days better than the night before and youre back to me again then you go and tell your friends that im the problem and youre ms never do no wrong if im so awful then whyd you stick around this long and if its the whiskey then why you keep on pullin it off the shelf you hate that when you look at me you halfway see yourself and it got me thinkin if im the problem well you might be the reason if im such a waste of breath such a waste of time then why you on your way to waste another friday night if im the problem and youre ms never do no wrong if im so awful then whyd you stick around this long and if its the whiskey then why you keep on pullin it off the shelf you hate that when you look at me you halfway see yourself and it got me thinkin if im the problem well you might be the reason
I Ain't Coming Back,Morgan Wallen & Post Malone,Country,im a redneck cause i drink beer and i dip skoal guess im a rambler cause i cant not be on the road might be a lost cause cause ill be out til the lights are on and im a gambler ill take the over on the underdog huh girl half of this town has got a name for me and i cant say i dont agree huh but the night i said im leavin i turned into richard petty broke my heart so i got even in my 97 chevy now im walkin on this water mixed with johnnie walker black theres a lot of reasons i aint jesus but the main one is that i aint comin back oh no no i aint comin back you call me thе devil then you told me whеre to go go throw your pebbles ill be somewhere gettin stoned girl it aint my fault aint no need to wait three days i might be a lot of things but i aint your savin grace yeah the night i said im leavin i turned into richard petty broke my heart so i got even in my 97 chevy now im walkin on this water mixed with johnnie walker black theres a lot of reasons i aint jesus but the main one is that i aint comin back oh no no i aint comin back girl half of this town has got a name for me but theres one ill never be no cause the night i said im leavin i turned into richard petty broke my heart and i got even in my 97 chevy now im walkin on this water mixed with johnnie walker black theres a lot of reasons i aint jesus but the main one is that i aint comin back oh no no i aint comin back oh
Lose Control,Teddy Swims,Pop,somethings got a hold of me lately no i don’t know myself anymore feels like the walls are all closin in and the devils knockin’ at my door woah out of my mind how many times did i tell you im no good at bein alone yeah its taken a toll on me tryin my best to keep from tearin the skin off my bones dont you know i lose control when youre not next to me i’m fallin’ apart right in front of you cant you see i lose control when you’re not next to me mhm yeah youre breakin my heart baby you make a mess of me problematic the problem is i want your body like a fiend like a bad habit bad habits hard to break when im with you yeah i know i can do it on my own but i want that real fullmoon black magic and it takes two problematic the problem is when i’m with you im an addict and i need some relief my skin in your teeth cant see the forest through the trees got me down on my knees darlin please oh i lose control when youre not next to me im fallin apart right in front of you cant you see i lose control when youre not next to me mmhmm yeah youre breakin my heart baby you make a mess of me yeah i lose control when youre not here with me mm im fallin apart right in front of you cant you see i lose control when youre not here with me mhm yeah youre breakin my heart baby you make a mess of me
Beautiful Things,Benson Boone,Pop,for a while there it was rough but lately ive been doin better than the last four cold decembers i recall and i see my family every month i found a girl my parents love shell come and stay the night and i think i might have it all and i thank god every day for the girl he sent my way but i know the things he gives me he can take away and i hold you every night and thats a feeling i wanna get used to but theres no man as terrified as the man who stands to lose you oh i hope i dont losе you mm please stay i want you i need you oh god dont take thеse beautiful things that ive got please stay i want you i need you oh god dont take these beautiful things that ive got oh ooh please dont take i found my mind im feelin sane its been a while but im finding my faith if everythings good and its great why do i sit and wait til its gone oh ill tell ya i know ive got enough ive got peace and ive got love but im up at night thinkin i just might lose it all please stay i want you i need you oh god dont take these beautiful things that ive got oh ooh please stay i want you i need you oh god i need these beautiful things that ive got
