song_title,artist,simplified_genre,clean_lyrics
Don't Lose My Number,Phil Collins,Rock,rolling stone reported phil collins has no idea what “don’t lose my number” is about the lyrics came to him… read more they came at night leaving fear behind shadows were on the ground oh nobody knew where to find him no evidence was found im never coming back they heard him cry and i believe him well he never meant to do anything wrong its gonna get worse if he waits too long billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you oh no searching through the day and into the night they wouldnt stop till they found him they didnt know him and they didnt understand they never asked him why get out of my way they heard him shout then a blinding light oh all i could see was him running down the street out of the shadows and into the night now billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you oh dont give up keep running keep hiding dont give up billy if you know youre right dont give up you know that i am on your side dont give up oh billy you better you better you better run for your life now billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you oh they came at night leaving fear behind shadows were on the ground nobody knew where to find him no evidence was found im never coming back they heard him cry and i believe him he never meant to do anything wrong its gonna get worse if he waits too long now billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you oh now billy billy dont you lose my number cause youre not anywhere that i can find you
Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,Rock,1 contributorinvincible theme from ”the legend of billie jean” lyricsthis bloody road remains a mystery this sudden darkness fills the air what are we waiting for wont anybody help us what are we waiting for we cant afford to be innocent stand up and face the enemy its a do or die situation we will be invincible this shattered dream you cannot justify were gonna scream until were satisfied what are we running for weve got the right to be angry what are we running for when theres nowhere we can run to anymore we cant afford to be innocent stand up and face the enemy its a do or die situation we will be invincible and with the power of conviction there is no sacrifice its a do or die situation we will be invincible wont anybody help us what are we running for when theres nowhere nowhere we can run to anymore we cant afford to be innocent stand up and face the enemy its a do or die situation we will be invincible and with the power of conviction there is no sacrifice its a do or die situation we will be invincible yeah we cant afford to be innocent yeah yeah stand up and face the enemy its a doordie situation we will be invincible ooooh yeah yeah we cant afford to be innocent yeah stand up and face the enemy yeah yeah its a doordie situation we will be invincible
Pop Life,Prince And The Revolution,Rock,whats the matter with your life is the poverty bringing you down is the mailman jerking you round did he put your million dollar check in someone elses box tell me whats the matter with your world was it a boy when you wanted a girl boy when you wanted a girl dont you know straight hair aint got no curl no curl life it aint real funky unless its got that pop dig it pop life everybody needs a thrill pop life we all got a space to fill pop life everybody cant be on top but life it aint real funky unless its got that pop dig it tell me whats that underneath your hair is there anybody living there anybody living there you cant get over if you say you just dont care dont care show me a boy who stays in school and ill show you a boy aware dig it pop life everybody needs a thrill pop life we all got a space to fill pop life everybody cant be on top but life it aint real funky unless its got that pop dig it uh what you putting in your nose is that where all your money goes is that where your money goes the river of addiction flows you think its hot but there wont be no water when the fire blows dig it pop life everybody needs a thrill pop life we all got a space to fill pop life everybody wants to be on top but life it aint real funky unless its got that pop throw the bum out everybody needs a thrill pop life we all we got a space to fill pop life everybody cant be on top but life it aint real funky unless its got that pop
Freedom,Wham!,Holiday,doot doot do ohoh ohoh oh ohh dodododododoo dodododododoo every day i hear a different story people sayin that you’re no good for me saw your lover with another and she’s making a fool of you oh if you love me baby youd deny it but you laugh and tell me i should try it tell me i’m a baby and i dont understand but you know that i’ll forgive you just this once twice forever ‘cause baby you could drag me to hell and back just as long as we’re together and you do i don’t want your freedom i don’t want to play around i dont want nobody baby parttime love just brings me down i don’t need your freedom girl all i want right now is you doot doot do whoaoh oh yeah dodododododoo dodododododoo like a prisoner who has his own key but i cant escape until you love me i just go from day to day knowing all about the other boys you take my hand and tell me im a fool to give you all that i do i bet you someday baby someone says the same to you but you know that ill forgive you just this once twice forever cause baby you could drag me to hell and back just as long as were together and you do oh i dont want your freedom i dont want to play around i dont want nobody baby parttime love just brings me down i dont want your freedom girl all i want right now is you doot doot do cant you see youre hurting me whoaoh oh yeah ahhahh dodododododoo dodododododoo youre hurting me baby hurting me baby oh ohoh dididitdootdododo dididitdootdododo dididitdootdododo dididitdootdododo youre hurting me baby hurting me baby but you know that ill forgive you just this once twice forever cause baby you could drag me to hell and back just as long as were together and you do oh i dont want your freedom i dont need to play around i don’t want nobody baby parttime love just brings me down i dont want your freedom i dont want to play around i dont want nobody baby parttime love just brings me down i dont want your i dont want your i dont want your i dont want your i dont want your i dont want your i dont want your i dont want your oh oh oh oh ohoh oh and its up to you to set me free
What About Love?,Heart,Rock,heart’s version peaked at 10 on the billboard hot 100 and 3 on billboard’s mainstream rock chart in 1985 … read more ive been lonely ive been waiting for you im pretending and thats all i can do the love im sending aint making it through to your heart youve been hiding never letting it show always trying to keep it under control you got it down and youre well on your way to the top but theres something that you forgot what about love dont you want someone to care about you what about love dont let it slip away what about love i only wanna share it with you you might need it someday i cant tell you what youre feeling inside and i cant sell you what you dont want to buy somethings missing you gotta look back on your life you know something here just aint right what about love dont you want someone to care about you what about love dont let it slip away what about love i only wanna share it with you what about love dont you want someone to care about you what about love dont let it slip away but what about love i only wanna share it with you oh no oh oh what about love love ooh what about love love love love what about what about love ooh
Dare Me,The Pointer Sisters,Disco,ive got a chip on my shoulder with your name on it knock it off so dont just stand there foolin if you dont want it knock it off i say youre either a lover or you are a liar so dont you push too hard youre playing with fire baby make your move step across the line touch me one more time come on dare me i wanna take you on i know i cant lose ill be loving you if you just dare me looks like youre looking for trouble and id say you found it you found it youll have to come right through me theres no way around it you found it i hope that lean hungry look means what its saying cause im just sitting on ready ready and waiting baby make your move step across the line touch me one more time come on dare me i wanna take you on i know i cant lose and ill be loving you if you just dare me come on and dare me if theres any truth behind your intentions this nights gonna end up on fire you better believe it you better believe it ooh baby oh dare me dare me dare me baby make your move step across the line touch me one more time come on dare me any time any day i wanna take you on any day any night i know i cant lose any way anyhow ill be loving you ill give you all i got if you just dare me baby make your move step across the line im gonna keep on loving you touch me one more time so big and bad come on dare me time to show me what you got i wanna take you on i know i know i cant lose i know i cant lose ill be loving you be loving if you just dare me loving loving baby make your move loving you step across the line touch me one more time come on dare me come on darling i wanna take you on wanna take you on i know i cant lose i cant lose ill be loving you if you just dare me
Smokin' In The Boys Room,Motley Crue,Rock,woo you ever seem to have one of those days where everyones on your case from your teacher all the way down to your best girlfriend well you know i used to have those about all the time but i found a way to get out of it let me tell you about sittin in the classroom thinkin its a drag listenin to the teacher rap just aint my bag by the two bells ring you know its my cue im gonna meet the boys on floor number two smokin in the boys room smokin in the boys room now teacher dont you fill me up with your rule cause everybody knows that smokin aint allowed in school hey hey checkin out the hall makin sure the coast is clear lookin in the stalls nah there aint nobody here my buddies sixx mick and tom to get caught would surely be the death of us all smokin in the boys room ah were smokin in the boys room now teacher dont you fill me up with your rule cause everybody knows that smokin aint allowed in school hey can i be excused well put me to work in my school bookstore checkout counter and i got bored teacher was lookin for me all around two hours later you know where i was found smokin in the boys room i tell you i was smokin in the boys room nahnahnah teacher dont you fill me up with your rule everybody knows that smokin aint allowed in school everybody smokin in the boys room ooh smokin in the boys room i tell you i was smokin in the boys room hey smokin in the boys room hey teacher dont you fill me up with your rule cause everybody knows that smokin aint allowed in school one more smokin in the boys room smokin in the boys room now teacher i aint foolin around with your rule everybody knows that smokin aint allowed in school
If You Love Somebody Set Them Free,Sting,Hip-Hop,free free set them free oh whoa whoa free free set them free oh free free set them free free free set them free if you need somebody free free set them free call my name free free set them free if you want someone free free set them free you can do the same free free set them free if you wanna keep something precious free free set them free you gotta lock it up and throw away the key free free set them free if you wanna hold onto your possession free free set them free dont even think about me free free set them free if you love somebody if you love someone if you love somebody if you love someone set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free if its a mirror you want just look into my eyes or a whipping boy someone to despise or a prisoner in the dark tied up in chains you just cant see or a beast in a gilded cage thats all some people ever wanna be if you love somebody love somebody if you love someone love somebody if you love somebody love somebody if you love someone love somebody set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free you cant control an independent heart cant hold what you cant keep cant tear the one you love apart cant love what you cant keep forever conditioned to believe that we cant live we cant live here and be happy with less so many riches so many souls everything we see there we want to possess if you need somebody call my name if you want someone you can do you can do you can do the same if you wanna keep something precious you gotta lock it up and throw away the key you wanna hold onto your possession dont even think about me if you love somebody love somebody if you love someone love somebody if you love somebody love somebody if you love someone love somebody set them free free free set them free set them free free free set them free set them free free free set them free oh set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free set them free free free set them free
Everytime You Go Away,Paul Young,Pop,hey if we can solve any problem then why do we lose so many tears oh so you go again when the leading man appears always the same thing cant you see weve got everything going on and on and on every time you go away you take a piece of me with you every time you go away you take a piece of me with you ooh go on and go free yeah maybe youre too close to see i can feel your body move doesnt mean that much to me i cant go on saying the same thing cause cant you see we got everything baby even though you know every time you go away yeah you take a piece of me with you oh every time you go away you take a piece of me with you ooh i cant go on saying the same thing cause baby cant you see we got everything going on and on and on every time you go away you take a piece of me with you every time you go away you take a piece of me with you every time you go away ohh you take a piece of me with you every time you go every time you go away i think that i dont care you take a piece of me with you ive been living it everywhere every time you go away dont leave me all alone you take a piece of me with you picking up the pieces
Life In One Day,Howard Jones,Pop,said dont always take life so seriously play the flute and dance and sing your song try and enjoy the here and now the future will take care of itself somehow the grass is never greener over there time will wear away the stone gets the hereditary bone chorus dont try to live your life in one day dont go speed your time away dont try to live your life in one day dont go speed your time away the old man said to me said you cant change the world singlehandedly raise a glass enjoy the scenery pretend the water is champagne and fill my glass again and again while the wolves are gathering round your door time will wear away the stone gets the hereditary bone the old man said to me said dont always take life so seriously play the flute and dance and sing your song try and enjoy the here and now the future will take care of itself somehow the grass is never greener over there time will wear away the stone gets the hereditary bone i tried to live my life in one day dont go speed your time away i bit off more than i can chew only so much you can do wolves are gathering round my door ask them in and invite some more i tried to live my life in one day dont go speed your time away
