song_title,artist,simplified_genre,clean_lyrics
We Belong Together,Mariah Carey,Holiday,the track was 1 on the billboard charts for 14 weeks which was the secondlongest running… read more sweet love yeah i didnt mean it when i said i didnt love you so i shoulda held on tight i never shoulda let you go i didnt know nothin i was stupid i was foolish i was lyin to myself i couldnt have fathomed i would ever be without your love never imagined id be sitting here beside myself guess i didnt know you guess i didnt know me but i thought i knew everything i never felt the feelin that im feelin now that i dont hear your voice or have your touch and kiss your lips cause i dont have a choice oh what i wouldnt give to have you lyin by my side right here cause baby we belong together when you left i lost a part of me together its still so hard to believe come back baby please come back come back come back come back cause we belong together who else am i gon lean on when times get rough who else whos gonna talk to me on the phone til the sun comes up who else whos gonna take your place there aint nobody better who else oh baby baby we belong together i cant sleep at night when you are on my mind bobby womacks on the radio singin to me if you think youre lonely now wait a minute this is too deep too deep i gotta change the station so i turn the dial tryna catch a break and then i hear babyface i only think of you and its breakin my heart im tryna keep it together but im fallin apart im feelin all out of my element throwin things cryin tryna figure out where the hell i went wrong the pain reflected in this song aint even half of what im feelin inside i need you need you back in my life baby my life my life we belong together when you left i lost a part of me together its still so hard to believe come back baby please come back come back come back come back cause we belong together who else am i gon lean on when times get rough who will whos gonna talk to me on the phone til the sun comes up who will whos gonna take your place there aint nobody better who will oh baby baby we belong together baby we belong together who will when you left i lost a part of me who will its still so hard to believe who will come back baby please come back come back come back come back cause we belong together who am i gonna lean on when times get rough who will whos gon talk to me til the sun comes up who will whos gon take your place there aint nobody better who will oh baby baby we belong together who will who will who will we belong together
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,Pop,the song debuted on the hot 100 at 95 back in… read more okay ahh yeah ahh oh we about to get it just a little hot and sweaty in this motherfucker ooh baby ladies lets go uhh soldiers lets go dolls let me talk to yall and just you know give you a little situation listen fellas you see this shit get hot every time i come through when i step up in the spot are you ready make the place sizzle like a summertime cookout prowl for the best chick yes im on the lookout lets dance slow bangin shorty like a belly dancer wit it smell good pretty skin so gangsta wit it ooh baby no tricks only diamonds under my sleeve gimme the number but make sure you call before you leave i know you like me i know you like me i know you do i know you do thats why whenever i come around shes all over you and i know you want it i know you want it its easy to see its easy to see and in the back of your mind i know you should be fuckin with me dont cha wish your girlfriend was hot like me dont cha wish your girlfriend was a freak like me dont cha dont cha dont cha wish your girlfriend was raw like me dont cha wish your girlfriend was fun like me dont cha ahahah dont cha fight the feeling fight the feeling leave it alone leave it alone cause if it aint love oh it just aint enough to leave a happy home uhuh uhuh lets keep it friendly lets keep it friendly you have to play fair you have to play fair yeah see i dont care but i know she aint gon wanna share ah ahah ooh oh dont cha wish your girlfriend was hot like me oh dont cha wish your girlfriend was a freak like me like me dont cha dont cha baby dont cha alright sing dont cha wish your girlfriend was raw like me raw dont cha wish your girlfriend was fun like me big fun dont cha ahahah dont cha okay i see how its goin down seem like shorty wanna little ménage pop off or somethin lets go well let me get straight to it every broad wanna watch a nigga when i come through it its the god almighty lookin all brand new if shorty wanna jump in my aston vanquish lookin at me all like she really wanna do it tryna put it on me til my balls black and blueish blueish you wanna play with a player girl then play on strip out the chanel and leave the lingerie on ha watch me and ima watch you at the same time lookin at you wanna break my back youre the very reason why i keep a pack of the magnum and with the wagon hit you in the back of the magnum for the record i dont think it was something you did shorty all on me cause its hard to resist the kid i got a idea thats dope for yall as yall could get cold so i could hit the both of yall see i know she loves you i know she loves ya i understand i understand yeah id probably be just as crazy about you if you were my own man maybe next lifetime maybe next lifetime possibly possibly until then old friend your secret is safe with me hot dont cha wish your girlfriend was hot like me oh dont cha wish your girlfriend was a freak like me like me dont cha dont cha baby dont cha alright sing dont cha wish your girlfriend was raw like me raw dont cha wish your girlfriend was fun like me big fun dont cha ahahah dont cha
Pon de Replay,Rihanna,Pop,right off the bat rihanna showed… read more come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up it goes one by one even two by two everybody on the floor let me show you how we do lets go dip it low then you bring it up slow wind it up one time wind it back once more come run run run run everybody move run lemme see you move and rock it til the groove done shake it til the moon becomes the sun sun everybody in the club give me a run run if you ready to move say it yeah one time for your mind say it yeah yeah well im ready for ya come let me show ya you want to groove ima show you how to move come come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up hey mister please mr dj tell me if you hear me turn the music up hey mister hey mister please mr dj tell me if you hear me turn the music up it goes one by one even two by two everybody in the club gon be rockin when im through let the bass from the speakers run through ya sneakers move both ya feet and run to the beat come run run run run everybody move run lemme see you move and rock it til the groove done shake it til the moon becomes the sun sun everybody in the club give me a run run if you ready to move say it yeah one time for your mind say it yeah yeah well im ready for ya come let me show ya you want to groove ima show you how to move come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up hey mister hey mister please mr dj tell me if you hear me turn the music up turn the music up right now hey mister oh mister please mr dj tell me if you hear me turn the music up turn the music up right now okay everybody get down if you feel me put your hands up to the ceiling everybody get down if you feel me come and put your hands up to the ceiling everybody get down if you feel me put your hands up to the ceiling everybody get down if you feel me come and put your hands up to the ceiling come mr dj song pon de replay come mr dj song pon de replay come mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what all the gyal pon the dancefloor come mr dj wont you turn the music up come mr dj song pon de replay hey mr dj boy hey mr dj wont you turn the music up all the gyal pon the dancefloor wantin some more what come mr dj wont you turn the music up
Let Me Hold You,Bow Wow Featuring Omarion,R&B,in a 2005 interview with mtv bow wow spoke of the track saying… read more uh yall know what this is this what you need to do girl so so def let me hold you i been watchin you for a minute come through here so sweet scented in life girl you need me in it im determined to win it i know what you need i know whats wrong i know how to make it tight everything will be all right if ya let me hold you and introduce you to my world and introduce you to the better side of life that you aint been seeing girl ima show you where its at and ima show you how to get it all you got do is be with it and let me hold you down like a real mans supposed to i never would have approached you if i aint have intentions on doing good see dude you with is so fooled to me girl youre so cool and all im asking you to do is let me hold you down like a best friend two homies in the game when you cry i wanna feel your pain no secrets no games all excitement nothin plain keep you happy thats my aim and all you gotta do girl is let me hold you in my arms in my mind all the time i wanna keep you right by my side til i die im gonna hold you down and make sure everything is right with you you can never go wrong if you let me hold you down like a real friends supposed to im trying to show you the life of somebody like you should be living ohhhhh baby baby you could never go wrong if you let me hold you ima keep you up on whats poppin and shake you fresh to death when we hit the mall we can ball til theres no more left i know you aint used to it but you gon get used to it cause thats the only way im a do you and let me let me hold you all my homies think im trippin cause i got you a pad see they just mad cause they aint get you they aint get you scorpio is your sign and girl your so fine and i would do whatever in no time no shine its what youre coming with but ima change all that rearrange that put you in the range all black with the rims to match phone attached tvs in the back how you gon say no to that huh let me hold you niggas look at me like now here you go really bout to blow some doe but aint nobody did it before so why is you so go hold it cause i believe this was meant to be i just gotta work at it like a crack addict up in rehab let me hold you in my arms in my mind all the time i wanna keep you right by my side til i die im gonna hold you down and make sure everything is right with you you can never go wrong if you let me hold you down like a real friends supposed to im trying to show you the life of somebody like you should be living ohhhhh baby baby you could never go wrong if you let me hold you let me hold you downdown around atlantalanta fafound and everybody know now what im tryna do i say downdown around atlantalanta fafound im just tryna get you to let me hold you downdown around atlantalanta fafound and everybody know now what im tryna do i say downdown around atlantalanta fafound im just tryna get you to to let me hold you let me hold you in my arms in my mind all the time i wanna keep you right by my side til i die im gonna hold you down and make sure everything is right with you you can never go wrong if you let me hold you down like a real friends supposed to im trying to show you the life of somebody like you should be living ohhhhh baby baby you could never go wrong if you let me hold you hold you hold you let me hold you
You And Me,Lifehouse,Rock,musically “you and me” is a melodic pop rock song which by today’s standards has a notably high… read more what day is it and in what month this clock never seemed so alive i cant keep up and i cant back down ive been losing so much time cause its you and me and all of the people with nothing to do nothing to lose and its you and me and all other people and i dont know why i cant keep my eyes off of you all of the things that i want to say just arent coming out right im tripping on words youve got my head spinning i dont know where to go from here cause its you and me and all of the people with nothing to do nothing to prove and its you and me and all other people and i dont know why i cant keep my eyes off of you theres something about you now i cant quite figure out everything she does is beautiful everything she does is right cause its you and me and all of the people with nothing to do nothing to lose and its you and me and all other people and i dont know why i cant keep my eyes off of you and me and all other people with nothing to do nothing to prove and its you and me and all other people and i dont know why i cant keep my eyes off of you what day is it and in what month this clock never seemed so alive
Shake It Off,Mariah Carey,Holiday,ooh ooh ooh ooh ooh ooh oh everybody just everybody just bounce bounce check it out ooh ooh ooh ooh ooh ooh oh everybody just everybody just bounce bounce i gotta shake you off cause the loving aint the same and you keep on playing games like you know im here to stay i gotta shake shake you off just like the calgon commercial i really gotta get up outta here and go somewhere i gotta shake you off gotta make that move yeah find somebody who appreciates all the love i give boy i gotta shake shake you off gotta do whats best for me baby and that means i gotta shake you off by the time you get this message its gonna be too late uhhuh so dont bother paging me cause ill be on my way what ya doin see i grabbed all my diamonds and clothes just ask your momma she knows youre gonna miss me baby hate to say i told you so yeah well at first i didnt know but now its clear to me you would cheat with all your freaks and lie compulsively so i packed up my louis vuitton pack it up jumped in your ride and took off uhhuh youll never ever find a girl who loves you more than me i gotta shake you off cause the loving aint the same and you keep on playing games like you know im here to stay i gotta shake shake you off just like the calgon commercial i really gotta get up outta here and go somewhere i gotta shake you off gotta make that move uhhuh find somebody who appreciates all the love i give boy i gotta shake shake you off gotta do whats best for me yeah baby and that means i gotta shake you off watch this i gotta shake shake shake shake shake it off shake shake shake shake shake it off gotta shake it off what it look like shake shake shake shake shake it off what it do what it do shake shake shake shake shake you off mc i found out about a gang of your dirty little deeds with this one and that one by the pool on the beach in the streets heard yall was hold up my phones breakin up ima hang up and call the machine right back i gotta get this off of my mind you wasnt worth my time no so im leaving you behind uhhuh yeah cause i need a real love in my life save this recording because im never coming back home uhhuh baby im gone gone dont ya know i gotta shake you off i gotta shake you off cause the loving aint the same and you keep on playing games like you know im here to stay oh i gotta shake shake you off just like the calgon commercial i really gotta get up outta here and go somewhere i gotta shake you off gotta make that move uhhuh find somebody who appreciates all the love i give boy i gotta shake shake you off gotta do whats best for me baby and that means i gotta shake you off i gotta watch this to shake shake shake shake shake it off haha to shake shake shake shake shake it off gotta shake it off watch this to shake shake shake shake shake it off to shake shake shake shake shake it off i gotta shake you off cause the loving aint the same and you keep on playing games like you know im here to stay i gotta shake shake you off oh just like the calgon commercial i really gotta get up outta here and go somewhere i gotta shake it off gotta make that move say what find somebody who appreciates all the love i give i like that part boy i gotta shake shake you off gotta do whats best for me uhhuh baby and that means i gotta shake you off i gotta shake you off ooh ooh ooh ooh everybody just everybody just bounce bounce i gotta shake shake you off ooh ooh ooh ooh everybody just everybody just bounce bounce i gotta shake you off
Behind These Hazel Eyes,Kelly Clarkson,Holiday,ohoh oh oh oh ohoh oh oh seems like just yesterday you were a part of me i used to stand so tall i used to be so strong your arms around me tight everything it felt so right unbreakable like nothing could go wrong now i cant breathe no i cant sleep im barely hangin on here i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyes i told you everything opened up and let you in you made me feel alright for once in my life now all thats left of me is what i pretend to be so together but so broken up inside cause i cant breathe no i cant sleep im barely hangin on here i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyes swallow me then spit me out for hating you i blame myself seeing you it kills me now no i dont cry on the outside anymore anymore here i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyes here i am once again im torn into pieces cant deny it cant pretend just thought you were the one broken up deep inside but you wont get to see the tears i cry behind these hazel eyes
Listen To Your Heart,D.H.T.,Dance,i know theres something in the wake of your smile i get a notion from the look in your eyes yeah youve built a love but that love falls apart your little piece of heaven turns too dark listen to your heart when hes calling for you listen to your heart theres nothing else you can do i dont know where youre going and i dont know why but listen to your heart before you tell him goodbye listen to your heart when hes calling for you listеn to your heart theres nothing еlse you can do i dont know where youre going and i dont know why but listen to your heart before you tell him goodbye sometimes you wonder if this fight is worthwhile the precious moments are all lost in the tide yeah theyre swept away and nothing is what it seems the feeling of belonging to your dreams to your dreams listen to your heart listen to your heart listen to your heart listen to your heart listen to your heart listen to your heart listen to your heart listen to your heart listen to your heart when hes calling for you listen to your heart theres nothing else you can do i dont know where youre going and i dont know why but listen to your heart before you tell him goodbye
Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,Hip-Hop,music make you lose control music make you lose control lets go hey hey hey hey hey hey here we go now here we go now here we go now here we go now music make you lose control misdemeanors in the house yeah ciaras in the house misdemeanors in the house fatman scoopman scoopman scoop i got a cute face chubby waist mhm thick legs in shape lets go cmon rump shakin both ways cmon now make you do a double take now lets go yall woo planet rocker show stopper flow proper head knocker yeah beat scholar tail dropper do my thang motherfuckers now lets go my rolls royce lamborghini ha ha ha ha blue madina always beamin ha ha ha ha rag top chrome pipes bring it back now blue lights outta sight now bring it back long weave sewed in walk it out say it again sewed in walk it out make that money throw it in woo booty bouncin gon head hands up everybody here get it out of control get your backs off the wall cause misdemeanor said so uhhuh everybody just throw your hands in the air step step everybody just throw your hands in the air woo everybody just throw your hands in the air step step everybody just throw your hands in the air woo well my name is ciara for all you fly fellas no one can do it better shell sing on acapella oh cmon boy the music makes me lose control now bring it back now we gon make you lose control one two three lets go and let it go fore you know you gon hit the flo yeah yeah i rock to the beat til im tired i walk in the club its fire get it crunk and wired wave yo hands scream louder if you smoke then fire it up cmon put your hands up bring the roof down and holla if you tipsy stand up dj turn it louder take somebody by the waist and uh now throw it in they face like uh hypnotic robotic this here will rock yo bodies woo take somebody by the waist and uh uhhuh now throw it in they face like uh uhhuh systematic ecstatic this hit be automatic work wait work work throw that thing throw that thing work wait work work throw that thing throw that thing work wait work work throw that thing throw that thing work wait do it right hit the floor hit the floor yes hit the floor hit the floor work hit the floor hit the floor hit the floor woo everybody here get it out of control woo get your backs off the wall cause misdemeanor said so uhhuh everybody just throw your hands in the air step step everybody just throw your hands in the air woo everybody just throw your hands in the air step step everybody just throw your hands in the air lets go everybody here get it out of control mmm get your backs off the wall cause misdemeanor said so ah everybody get your back off the wall step step everybody get your back off the wall keep on steppin everybody get your back off the wall step step everybody step get loose get your back off the wall now put your back on the wall put your back on the wall put your back on the wall put your back on the wall misdemeanors in the house yeah ciaras in the house misdemeanors in the house music make you lose control we on fire we on fire we on fire we on fire now throw it girl throw it girl throw it girl yeah now move your arms to the left girl now move your arms to the left girl now move your arms to the right girl now move your arms to the right girl lets go now lets go now lets go now woo lets go should i bring it back right now now bring it back down woo oh i see you ci now see ima ima do it like ci do it now shake it girl cmon and just shake it girl cmon and let it pop right girl cmon and let it pop right girl now now back it up girl back it up girl back it up girl back it up girl woo woo woo yo yo bring it to the front girl yo yo bring it to the front girl yo yo bring it to the front girl yo yo bring it to the front girl lets go lets go woo
Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,Hip-Hop,oh yeah the fancy cars the women and the caviar you know who we are cause were pimpin all over the world the fancy cars the women and the caviar you know who we are cause were pimpin all over the world sing it hoes the world the world the world all over the world baby its only right that i share my experiences with yall cause ive been places youll never imagine thats right but ima start it at home when i see a girl i like i walk straight up to them and im like uh hey girl how you doin you are the woman that im really pursuin and i would like to get to know ya can you gimme ya name if you jot down ya number youll get mine in exchange hey see im the man of this town and i hope you wouldnt mind if i showed you around so when you go to certain places youll be thinkin of me we got people to meet and many places to see hey mm im really diggin ya lips but be careful where you walkin when you swingin them hips im kinda concerned that youll be causin a crash with your traffic jam booty heads pausin so fast hey i wouldnt trade you for the world i swear it i like ya hair and every style that you wear it and how the colors coordinate with your clothes from your manicured nails to your pedicured toes woo oh yeah the fancy cars the women and the caviar you know who we are cause were pimpin all over the world the fancy cars the women and the caviar you know who we are cause were pimpin all over the world yeah you hear the song so dance dont always think im tryna get in your pants um cause see me my pimpins in 3d im takin you places you only see on tv tryna show ya how you livin is trife how many guys you know can bring the travel channel to life one day we on the autobahn swervin drivin next day we in the sun on the virgin islands if you with me aint no time to sleep especially at wet willies on miami beach but i drop you off and pay you no attention if make it to atlantas bronner brothers convention then jump in the car and just ride for hours makin sure i dont miss the homecoming at howard hawaii to dc its plenty women to see so if yo ass dont show up its more women for me hey oh yeah the fancy cars the women and the caviar you know who we are cause were pimpin all over the world the fancy cars the women and the caviar you know who we are cause were pimpin all over the world im in new york at the puerto rican day parade then at night im in new orleans drinkin hand grenades outnumbered by the dozens at the jazz fest in mardi gras all the women tryna show me they chest ay im in jamaica spendin massive bucks while the ladies all beggin me to mash it up i had sad beginnings when i rapped with no fans now its all happy endings on my lap in japan hey i used to think that it was way too cold til i went to canada and saw some beautiful hoes now i hit the caribana every year in toronto then fly to illinois to get a taste of chicago uh oh yet and still you wouldnt believe your eyes if you went to brazil but where the best at aint no need of even askin brah the best women all reside in africa and thats real woo oh yeah the fancy cars the women and the caviar you know who we are cause were pimpin all over the world the fancy cars the women and the caviar you know who we are cause were pimpin all over the world sing it hoes the world the world the world pimpin pimpin pimpin ladies and gentlemen as we ride out can we have all the real pimps please put both of your pinky fingers high in the air now ladies look around with me lets see if we can weed some of these niggas out cause it aint no way that all these niggas could be pimpin now if you happen to see a nigga with two sweat patches up under his arms look like he been swimmin in shoulder height water please tell that nigga put your hands down if you smell like you been at work all day and drakkar please put your hands down now look up at the pinky fingers that are still in the air if you see him ashy around the knuckles like the nigga wash half of his hands and lotion three quarters of his body please say put your hands down if your spinnin rims spin counterclockwise you are not pimpin if you are dancin on the dancefloor and you look to your left and your right and there is not a woman in sight guess what you guessed it you are not pimpin if your vodka and cranberry is really really dark like blood thats because you didnt order vodka buddy thats why its three dollars a glass aput your hands down now look down look down i need i need everybody to pull up your pants leg one time okay you see the nigga with the white socks not pimpin sorry unless you part of the beat it entorauge if your shoes have a buckle on em youre not pimpin
