rank,title,artist,genre
1,The Power Of Love,Huey Lewis & The News,Rock
2,St. Elmo's Fire (Man In Motion),John Parr,"french jazz, vocal jazz, bossa nova"
3,Freeway Of Love,Aretha Franklin,"soul, motown, jazz blues"
4,We Don't Need Another Hero (Thunderdome),Tina Turner,R&B/Soul
5,Summer Of '69,Bryan Adams,Rock
6,Shout,Tears For Fears,"new wave, synthpop"
7,Never Surrender,Corey Hart,synthpop
8,Cherish,Kool & The Gang,"disco, funk"
9,You're Only Human (Second Wind),Billy Joel,soft rock
10,Money For Nothing,Dire Straits,classic rock
11,Don't Lose My Number,Phil Collins,soft rock
12,Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,album rock
13,Pop Life,Prince And The Revolution,funk rock
14,Freedom,Wham!,christmas
15,What About Love?,Heart,classic rock
16,Dare Me,The Pointer Sisters,disco
17,Smokin' In The Boys Room,Motley Crue,"glam metal, glam rock, hard rock"
18,If You Love Somebody Set Them Free,Sting,"hindi hip hop, desi hip hop, punjabi hip hop"
19,Everytime You Go Away,Paul Young,Pop
20,Life In One Day,Howard Jones,"new wave, synthpop"
21,Who's Holding Donna Now,Debarge,quiet storm
22,You Spin Me Round (Like A Record),Dead Or Alive,"hi-nrg, synthpop"
23,Dress You Up,Madonna,Pop
24,Mystery Lady,Billy Ocean,Pop
25,Shame,The Motels,new wave
26,Oh Sheila,Ready For The World,"new jack swing, quiet storm"
27,There Must Be An Angel,Eurythmics,"new wave, synthpop"
28,Take On Me,a-ha,soft rock
29,Cry,Godley & Creme,Pop
30,Lonely Ol' Night,John Mellencamp,classic rock
31,Saving All My Love For You,Whitney Houston,Pop
32,Glory Days,Bruce Springsteen,Rock
33,Rock Me Tonight,Freddie Jackson,"quiet storm, smooth soul"
34,State Of the Heart,Rick Springfield,Rock
35,When Your Heart Is Weak,Cock Robin,Pop
36,Live Every Moment,REO Speedwagon,"soft rock, album rock, classic rock"
37,Every Step Of The Way,John Waite,arena rock
38,I Wonder If I Take You Home,Lisa Lisa And Cult Jam With Full Force,"freestyle, funk melody"
39,C-I-T-Y,John Cafferty & The Beaver Brown Band,Rock
40,No Lookin' Back,Michael McDonald,motown
41,Do You Want Crying,Katrina And The Waves,Pop
42,Fortress Around Your Heart,Sting,"hindi hip hop, desi hip hop, punjabi hip hop"
43,Spanish Eddie,Laura Branigan,Pop
44,I Got You Babe,UB40,reggae
45,Get It On (Bang A Gong),The Power Station,Pop
46,People Are People,Depeche Mode,"new wave, synthpop, darkwave"
47,Dancing In The Street,David Bowie & Mick Jagger,"glam rock, art rock"
48,Lovin' Every Minute Of It,Loverboy,Rock
49,Hangin' On A String,Loose Ends,"post-disco, new jack swing"
50,You Give Good Love,Whitney Houston,Pop
51,And We Danced,Hooters,Rock
52,Four In The Morning (I Can't Take Anymore),Night Ranger,"glam metal, album rock, arena rock, hard rock"
53,The Way You Do The Things You Do/My Girl,Daryl Hall  John Oates,soft rock
54,First Night,Survivor,Rock
55,Wild And Crazy Love,Mary Jane Girls,post-disco
56,Be Near Me,ABC,Pop
57,Love And Pride,King,"hindi hip hop, desi hip hop, punjabi hip hop"
58,Down On Love,Foreigner,"album rock, classic rock"
59,Lay It Down,Ratt,"glam metal, glam rock, hard rock"
60,Sunset Grill,Don Henley,Rock
61,You Look Marvelous,Billy Crystal,Comedy
62,Tonight It's You,Cheap Trick,"power pop, album rock, classic rock, glam rock"
63,Sentimental Street,Night Ranger,"glam metal, album rock, arena rock, hard rock"
64,Jesse,Julian Lennon,Pop
65,Summertime Girls,Y&T,"rap, melodic rap, trap"
66,Looking Over My Shoulder,'Til Tuesday,new wave
67,Raspberry Beret,Prince And The Revolution,funk rock
68,Dancin' In The Key Of Life,Steve Arrington,post-disco
69,Love Theme From St. Elmo's Fire (Instrumental),David Foster,christmas
70,I'll Be Around,What Is This,Rock
71,A View To A Kill,Duran Duran,"new wave, synthpop"
72,All Of Me For All Of You,9.9,Hip-Hop/Rap
73,Voices Carry,'Til Tuesday,new wave
74,Wise Up,Amy Grant,"christmas, ccm, christian"
75,Some People,Belouis Some,"synthpop, new wave"
76,You Wear It Well,El DeBarge With DeBarge,new jack swing
77,Rebels,Tom Petty And The Heartbreakers,classic rock
78,Stir It Up,Patti LaBelle,"philly soul, quiet storm"
79,Forever,Kenny Loggins,Rock
80,Not Enough Love In The World,Don Henley,Rock
81,In And Out Of Love,Bon Jovi,"glam metal, rock"
82,Power Of Love (You Are My Lady),Air Supply,soft rock
83,The Search Is Over,Survivor,Rock
84,Running Back,Urgent,manele
85,19,Paul Hardcastle,"smooth jazz, jazz"
86,So In Love,Orchestral Manoeuvres In The Dark,"new wave, synthpop"
87,Information,Eric Martin,"album rock, arena rock"
88,Stand By Me,Maurice White,album rock
89,I Want My Girl,Jesse Johnson's Revue,
90,Test Of Time,The Romantics,power pop
91,Only For Love,Limahl,synthpop
92,Sussudio,Phil Collins,soft rock
93,Weird Science,Oingo Boingo,new wave
94,Through the Fire,Chaka Khan,R&B/Soul
95,Just As I Am,Air Supply,soft rock
96,Find A Way,Amy Grant,"christmas, ccm, christian"
97,It's Getting Late,The Beach Boys,baroque pop
98,Would I Lie To You?,Eurythmics,"new wave, synthpop"
99,Your Love Is King,Sade,"mariachi, música mexicana"
100,Call Me,Go West,"mexican hip hop, g-funk, latin hip hop"
