rank,title,artist,genre
1,I Got You Babe,Sonny & Cher,Pop
2,Help!,The Beatles,"classic rock, psychedelic rock"
3,California Girls,The Beach Boys,baroque pop
4,Unchained Melody,The Righteous Brothers,Pop
5,It's The Same Old Song,Four Tops,"motown, northern soul, soul"
6,Like A Rolling Stone,Bob Dylan,"folk rock, folk, singer-songwriter, roots rock, country rock"
7,Save Your Heart For Me,Gary Lewis And The Playboys,Rock
8,"Hold Me, Thrill Me, Kiss Me",Mel Carter,doo-wop
9,Down In The Boondocks,Billy Joe Royal,northern soul
10,Papa's Got A Brand New Bag (Part I),James Brown And The Famous Flames,R&B/Soul
11,"Baby, I'm Yours",Barbara Lewis,"northern soul, doo-wop"
12,You Were On My Mind,We Five,folk rock
13,Nothing But Heartaches,The Supremes,"motown, northern soul, soul"
14,Don't Just Stand There,Patty Duke,adult standards
15,All I Really Want To Do,Cher,"free jazz, soul jazz"
16,(I Can't Get No) Satisfaction,The Rolling Stones,"classic rock, rock"
17,Since I Lost My Baby,The Temptations,"motown, soul"
18,What's New Pussycat?,Tom Jones,Pop
19,The Tracks Of My Tears,The Miracles,"motown, northern soul, soul"
20,"I'm Henry VIII, I Am",Herman's Hermits,Pop
21,It Ain't Me Babe,The Turtles,Rock
22,"The ""In"" Crowd",Ramsey Lewis Trio,"jazz funk, smooth jazz, northern soul, soul jazz, jazz"
23,I'm A Fool,"Dino, Desi & Billy","baroque pop, bubblegum pop"
24,In The Midnight Hour,Wilson Pickett,"motown, soul, northern soul"
25,Heart Full Of Soul,The Yardbirds,"psychedelic rock, acid rock, blues rock"
26,Ju Ju Hand,Sam The Sham and the Pharaohs,Rock
27,Eve Of Destruction,Barry McGuire,folk rock
28,Looking Through The Eyes Of Love,Gene Pitney,Pop
29,Houston,Dean Martin,"christmas, adult standards, big band, swing music"
30,Take Me Back,Little Anthony And The Imperials,"doo-wop, northern soul"
31,Action,Freddy Cannon,"doo-wop, rockabilly"
32,Shake And Fingerpop,Jr. Walker & The All Stars,"motown, northern soul, soul"
33,"Sunshine, Lollipops And Rainbows",Lesley Gore,Pop
34,You'd Better Come Home,Petula Clark,Pop
35,I Don't Wanna Lose You Baby,Chad & Jeremy,"baroque pop, psychedelic pop"
36,I Want Candy,The Strangeloves,"garage rock, proto-punk"
37,Sugar Dumpling,Sam Cooke,"motown, soul"
38,You Tell Me Why,The Beau Brummels,"acid rock, garage rock, baroque pop, folk rock, country rock, psychedelic pop"
39,I Like It Like That,The Dave Clark Five,Rock
40,"Cara, Mia",Jay & The Americans,doo-wop
41,Agent Double-O-Soul,Edwin Starr,"northern soul, motown"
42,Catch Us If You Can,The Dave Clark Five,Rock
43,We Gotta Get Out Of This Place,The Animals,classic rock
44,"Sad, Sad Girl",Barbara Mason,philly soul
45,Who'll Be The Next In Line,The Kinks,"proto-punk, baroque pop"
46,Summer Nights,Marianne Faithfull,Pop
47,All I Really Want To Do,The Byrds,"folk rock, country rock, psychedelic rock, acid rock"
48,A Little You,Freddie And The Dreamers,Pop
49,Hang On Sloopy,The McCoys,Pop
50,You've Been In Love Too Long,Martha & The Vandellas,"motown, northern soul, soul"
51,I'll Always Love You,The Spinners,"philly soul, motown, soul, northern soul"
52,Laugh At Me,Sonny,"house, tech house"
53,It's Gonna Take A Miracle,The Royalettes,"northern soul, doo-wop"
54,If I Didn't Love You,Chuck Jackson,"northern soul, motown, doo-wop"
55,I'm A Happy Man,The Jive Five,"doo-wop, northern soul"
56,I'll Take You Where The Music's Playing,The Drifters,"doo-wop, motown"
57,Ride Your Pony,Lee Dorsey,northern soul
58,(My Girl) Sloopy,Little Caesar And The Consuls,Doo Wop
59,Moon Over Naples,Bert Kaempfert And His Orchestra,"orchestra, easy listening, big band, exotica"
60,Baby Don't Go,Sonny & Cher,Pop
61,New Orleans,Eddie Hodges,Pop
62,Annie Fanny,The Kingsmen,"proto-punk, garage rock"
63,Hung On You,The Righteous Brothers,Pop
64,Candy,The Astors,"northern soul, soul"
65,First I Look At The Purse,The Contours,"motown, northern soul"
66,Moonlight And Roses (Bring Mem'ries Of You),Vic Dana,hypertechno
67,Danger Heartbreak Dead Ahead,The Marvelettes,"motown, northern soul, doo-wop"
68,"It's Too Late, Baby Too Late",Arthur Prysock,"vocal jazz, philly soul"
69,It's A Man Down There,G.L. Crockett,rockabilly
70,I'll Make All Your Dreams Come True,Ronnie Dove,Country
71,Give All Your Love To Me,Gerry And The Pacemakers,Pop
72,Just You,Sonny & Cher,Pop
73,Ride Away,Roy Orbison,rockabilly
74,No Pity (In The Naked City),Jackie Wilson,"northern soul, motown, soul"
75,I Need You,The Impressions,"motown, soul, northern soul, doo-wop"
76,Colours,Donovan,Fiction
77,You've Got Your Troubles,The Fortunes,Christian
78,Summer Wind,Wayne Newton,"adult standards, big band"
79,Do You Believe In Magic,The Lovin' Spoonful,folk rock
80,You Better Go,Derek Martin,northern soul
81,Two Different Worlds,Lenny Welch,doo-wop
82,With These Hands,Tom Jones,Pop
83,I'm Yours,Elvis Presley,"rockabilly, rock and roll"
84,Is It Really Over?,Jim Reeves,christian country
85,Only Those In Love,Baby Washington,"northern soul, doo-wop"
86,Mohair Sam,Charlie Rich,traditional country
87,"Liar, Liar",The Castaways,"proto-punk, garage rock, northern soul"
88,If You Wait For Love,Bobby Goldsboro,Country
89,Home Of The Brave,Jody Miller,traditional country
90,Heartaches By The Number,Johnny Tillotson,doo-wop
91,Someone Is Watching,Solomon Burke,"soul, soul blues, motown"
92,I Want To (Do Everything For You),Joe Tex,"northern soul, soul"
93,What Are We Going To Do?,David Jones,Rock
94,Home Of The Brave,Bonnie & The Treasures,Pop
95,Good Times,Gene Chandler,"doo-wop, northern soul"
96,Can't Let You Out Of My Sight,Chuck Jackson & Maxine Brown,Pop
97,Too Hot To Hold,Major Lance,"northern soul, motown, soul"
98,The World Through A Tear,Neil Sedaka,"doo-wop, adult standards"
99,High Heel Sneakers,Stevie Wonder,"motown, soul"
100,These Hands (Small But Mighty),Bobby Bland,"blues, soul blues, classic blues, soul"
